"rt","correct","stimulus","key_press","phase","verif_ans","trial_type","trial_index","time_elapsed","internal_node_id","resp_iscorrect","verif_response","responses"
"5735","false","img/F01.jpg","89","0","n","categorize-image-asp","9","408463","0.0-8.0-1.0","false","89",""
"9273","","","","0","","image-text","10","417740","0.0-8.0-2.0","","","{""Q0"":""The sailor holds the broom.""}"
"3904","true","img/F03.jpg","89","0","y","categorize-image-asp","13","438159","0.0-8.0-1.1","true","89",""
"18802","","","","0","","image-text","14","456964","0.0-8.0-2.1","","","{""Q0"":""The waitress is holding the cane.""}"
"13392","false","img/F05.jpg","78","0","y","categorize-image-asp","17","484909","0.0-8.0-1.2","false","78",""
"12282","","","","0","","image-text","18","497195","0.0-8.0-2.2","","","{""Q0"":""The soldier holds the mop.""}"
"7736","true","img/P48.jpg","78","1","n","categorize-image-asp","21","519533","0.0-10.0-0.0","true","78",""
"12394","","","","1","","image-text","22","531931","0.0-10.0-1.0","","","{""Q0"":""The waitress is tickling the priest.""}"
"2075","true","img/P01.jpg","89","1","y","categorize-image-asp","24","544941","0.0-10.0-0.1","true","89",""
"11011","","","","1","","image-text","25","555955","0.0-10.0-1.1","","","{""Q0"":""The police officer is chasing the robber.""}"
"3061","true","img/P41.jpg","89","1","y","categorize-image-asp","27","570204","0.0-10.0-0.2","true","89",""
"20027","","","","1","","image-text","28","590234","0.0-10.0-1.2","","","{""Q0"":""The police officer slaps the swimmer.""}"
"2103","false","img/P05.jpg","78","1","y","categorize-image-asp","30","602076","0.0-10.0-0.3","false","78",""
"9707","","","","1","","image-text","31","611786","0.0-10.0-1.3","","","{""Q0"":""The pirate chases the robber.""}"
"10478","true","img/P40.jpg","78","1","n","categorize-image-asp","33","635371","0.0-10.0-0.4","true","78",""
"19275","","","","1","","image-text","34","654649","0.0-10.0-1.4","","","{""Q0"":""The boxer pulls the victim.""}"
"2160","false","img/P07.jpg","78","1","y","categorize-image-asp","36","668747","0.0-10.0-0.5","false","78",""
"18674","","","","1","","image-text","37","687425","0.0-10.0-1.5","","","{""Q0"":""The maid chases the doctor.""}"
"1744","true","img/P27.jpg","89","1","y","categorize-image-asp","39","698268","0.0-10.0-0.6","true","89",""
"9723","","","","1","","image-text","40","707993","0.0-10.0-1.6","","","{""Q0"":""The policeman scolds the dancer.""}"
"2906","true","img/P28.jpg","78","1","n","categorize-image-asp","42","725163","0.0-10.0-0.7","true","78",""
"7539","","","","1","","image-text","43","732705","0.0-10.0-1.7","","","{""Q0"":""The chef shoots the boxer.""}"
"1856","true","img/P06.jpg","78","1","n","categorize-image-asp","45","746235","0.0-10.0-0.8","true","78",""
"11155","","","","1","","image-text","46","757392","0.0-10.0-1.8","","","{""Q0"":""The waitress kicks the man.""}"
"3295","false","img/P39.jpg","78","1","y","categorize-image-asp","48","770604","0.0-10.0-0.9","false","78",""
"9185","","","","1","","image-text","49","779792","0.0-10.0-1.9","","","{""Q0"":""The artist kisses the man.""}"
"3407","true","img/P03.jpg","89","1","y","categorize-image-asp","51","797002","0.0-10.0-0.10","true","89",""
"9058","","","","1","","image-text","52","806064","0.0-10.0-1.10","","","{""Q0"":""The policeman chases the swimmer.""}"
"1517","false","img/P37.jpg","78","1","y","categorize-image-asp","54","820042","0.0-10.0-0.11","false","78",""
"11403","","","","1","","image-text","55","831447","0.0-10.0-1.11","","","{""Q0"":""The nun kisses the dancer.""}"
"2498","true","img/P08.jpg","78","1","n","categorize-image-asp","57","847178","0.0-10.0-0.12","true","78",""
"7739","","","","1","","image-text","58","854920","0.0-10.0-1.12","","","{""Q0"":""The waitress kicks the robber.""}"
"2583","true","img/P47.jpg","89","1","y","categorize-image-asp","60","872185","0.0-10.0-0.13","true","89",""
"8874","","","","1","","image-text","61","881063","0.0-10.0-1.13","","","{""Q0"":""The cowboy slaps the dancer.""}"
"2382","false","img/P13.jpg","78","1","y","categorize-image-asp","63","896026","0.0-10.0-0.14","false","78",""
"15075","","","","1","","image-text","64","911103","0.0-10.0-1.14","","","{""Q0"":""The soldier is followed by the nun.""}"
"2582","false","img/P11.jpg","78","1","y","categorize-image-asp","66","924585","0.0-10.0-0.15","false","78",""
"7515","","","","1","","image-text","67","932103","0.0-10.0-1.15","","","{""Q0"":""The pirate follows the doctor.""}"
"1968","false","img/P31.jpg","78","1","y","categorize-image-asp","69","947896","0.0-10.0-0.16","false","78",""
"8771","","","","1","","image-text","70","956670","0.0-10.0-1.16","","","{""Q0"":""The professor scolds the soldier.""}"
"1211","true","img/P16.jpg","78","1","n","categorize-image-asp","72","968712","0.0-10.0-0.17","true","78",""
"7338","","","","1","","image-text","73","976055","0.0-10.0-1.17","","","{""Q0"":""The dancer is pushed by the cowboy.""}"
"3297","true","img/P15.jpg","89","1","y","categorize-image-asp","75","991608","0.0-10.0-0.18","true","89",""
"8250","","","","1","","image-text","76","999862","0.0-10.0-1.18","","","{""Q0"":""The nun follows the boxer.""}"
"2658","true","img/P29.jpg","89","1","y","categorize-image-asp","78","1016039","0.0-10.0-0.19","true","89",""
"10267","","","","1","","image-text","79","1026311","0.0-10.0-1.19","","","{""Q0"":""The policeman scolds the boxer.""}"
"3794","true","img/P23.jpg","89","1","y","categorize-image-asp","81","1043608","0.0-10.0-0.20","true","89",""
"11506","","","","1","","image-text","82","1055117","0.0-10.0-1.20","","","{""Q0"":""The cowboy punches the ballerina.""}"
"1577","false","img/P43.jpg","78","1","y","categorize-image-asp","84","1069080","0.0-10.0-0.21","false","78",""
"9827","","","","1","","image-text","85","1078910","0.0-10.0-1.21","","","{""Q0"":""The policeman slaps the boxer.""}"
"5142","true","img/P38.jpg","78","1","n","categorize-image-asp","87","1093799","0.0-10.0-0.22","true","78",""
"6708","","","","1","","image-text","88","1100509","0.0-10.0-1.22","","","{""Q0"":""The pirate pulls the ballerina.""}"
"2089","false","img/P25.jpg","78","1","y","categorize-image-asp","90","1113975","0.0-10.0-0.23","false","78",""
"9259","","","","1","","image-text","91","1123237","0.0-10.0-1.23","","","{""Q0"":""The sailor is scolded by the professor.""}"
"2425","true","img/P35.jpg","89","1","y","categorize-image-asp","93","1134183","0.0-10.0-0.24","true","89",""
"12227","","","","1","","image-text","94","1146412","0.0-10.0-1.24","","","{""Q0"":""The artist kisses the soldier.""}"
"3673","true","img/P33.jpg","89","1","y","categorize-image-asp","96","1165511","0.0-10.0-0.25","true","89",""
"5227","","","","1","","image-text","97","1170740","0.0-10.0-1.25","","","{""Q0"":""The nun kisses the boxer.""}"
"1625","true","img/P12.jpg","78","1","n","categorize-image-asp","99","1186311","0.0-10.0-0.26","true","78",""
"6322","","","","1","","image-text","100","1192636","0.0-10.0-1.26","","","{""Q0"":""The cowboy pushes the swimmer.""}"
"1951","false","img/P45.jpg","78","1","y","categorize-image-asp","102","1206598","0.0-10.0-0.27","false","78",""
"7899","","","","1","","image-text","103","1214500","0.0-10.0-1.27","","","{""Q0"":""The cowboy slaps the sailor.""}"
"3199","true","img/P21.jpg","89","1","y","categorize-image-asp","105","1228917","0.0-10.0-0.28","true","89",""
"9292","","","","1","","image-text","106","1238212","0.0-10.0-1.28","","","{""Q0"":""The cowboy punches the doctor.""}"
"1677","true","img/P46.jpg","78","1","n","categorize-image-asp","108","1253349","0.0-10.0-0.29","true","78",""
"8764","","","","1","","image-text","109","1262115","0.0-10.0-1.29","","","{""Q0"":""The waitress tickles the doctor.""}"
"3954","true","img/P24.jpg","78","1","n","categorize-image-asp","111","1277269","0.0-10.0-0.30","true","78",""
"8500","","","","1","","image-text","112","1285770","0.0-10.0-1.30","","","{""Q0"":""The sailor touches the clown.""}"
"2695","true","img/P32.jpg","78","1","n","categorize-image-asp","114","1297910","0.0-10.0-0.31","true","78",""
"6570","","","","1","","image-text","115","1304482","0.0-10.0-1.31","","","{""Q0"":""The chef shoots the swimmer.""}"
"1855","true","img/P22.jpg","78","1","n","categorize-image-asp","117","1317508","0.0-10.0-0.32","true","78",""
"9339","","","","1","","image-text","118","1326851","0.0-10.0-1.32","","","{""Q0"":""The sailor touches the swimmer.""}"
