,prime_image_ID,prime_type,prime_verb,sentence,targ_image_ID,targ_verb,verif_ans
0,S091.jpg,PC,Slap,the priest is being slapped by the policeman,S017.jpg,Fix,y
1,S077.jpg,AC,Scold,The professor is scolding the soldier.,S055.jpg,Pull,y
2,F030.jpg,,smile,The little boy is crying.,F067.jpg,skate,n
3,S076.jpg,PI,Scold,The thief is being chase by the nurse,S099.jpg,Tickle,n
4,S009.jpg,AI,Chase,The man is send a letter.,S113.jpg,Scare,n
5,F017.jpg,,shower,The person is showering. ,F054.jpg,light,y
6,S114.jpg,PC,Send,The priest is being pushed by the chef,S024.jpg,Follow,n
7,S067.jpg,PI,Push,The priest is being push by the chef,S087.jpg,Shoot,y
8,F004.jpg,,clap,The person is clap after cleaning.,F041.jpg,dry,y
9,S068.jpg,AC,Push,The cowboy is pushing the ballerina.,S023.jpg,Follow,y
10,S082.jpg,AI,Scold,The dog is chase the cat,S015.jpg,Dump,n
11,F023.jpg,,cook,The two girls are whisper.,F060.jpg,crawl,n
12,S011.jpg,AI,Chase,The dog is chase the cat,S086.jpg,Shoot,y
13,S089.jpg,PC,Slap,the swimmer is being slapped by the policeman,S097.jpg,Tickle,n
14,F013.jpg,,balanace,The acrobat is balancing on the rope.,F050.jpg,hitchhike,y
15,S092.jpg,AC,Slap,The policeman is slapping the swimmer.,S057.jpg,Pull,y
16,S122.jpg,PI,Give,The priest is being scoldby the policeman,S042.jpg,Kiss,n
17,F003.jpg,,bow,The gentleman is bow to the crowd.,F040.jpg,hide,y
18,S081.jpg,PC,Scold,The priest is being scolded by the policeman,S041.jpg,Kiss,y
19,S029.jpg,AI,Hold,the sailor is touch the television,S049.jpg,Lift,n
20,F006.jpg,,play,The girl is play the piano.,F043.jpg,celebrate,y
21,S104.jpg,PI,Touch,the sailor is being chase by the nun,S018.jpg,Fix,n
22,S003.jpg,AC,chase,The nun is chasing the sailor.,S123.jpg,Scoop,y
23,F032.jpg,,whisper,The woman is cooking a burger patty.,F069.jpg,raise,n
24,S109.jpg,AC,Water,The woman is watering the plant.,S045.jpg,Kiss,y
25,S095.jpg,AI,Slap,the cowboy is push the wheelchair,S033.jpg,Kick,n
26,F037.jpg,,mine,The girl is singing a song.,F074.jpg,swim,n
27,S071.jpg,PI,Push,The snake is being touch by the maid,S115.jpg,Bite,n
28,S106.jpg,PC,Touch,The snake is being touched by the maid,S019.jpg,Fix,y
29,F026.jpg,,laugh,The grandmother swat at the fly.,F063.jpg,conduct,n
30,S069.jpg,PC,Push,The apple is being cut by the person.,S126.jpg,Carve,n
31,S117.jpg,AC,Cut,The man is paying for milk.,S026.jpg,Hit,n
32,F025.jpg,,make,The person buckle their shoes.,F062.jpg,howl,n
33,S125.jpg,PI,Pay,The milk is being pay for by the man.,S046.jpg,Kiss,y
34,S016.jpg,AI,Erase,The teacher is erase the board,S034.jpg,Kick,y
35,F035.jpg,,swat,The family is laughing together. ,F072.jpg,fish,n
36,S088.jpg,PC,Slap,the professor is being slapped by the cowboy,S059.jpg,Pull,y
37,S010.jpg,PI,Chase,the wrestler is being slap by the policeman,S002.jpg,Catch,n
38,F027.jpg,,cheer,The woman is mop the floor.,F064.jpg,hammer,n
39,S093.jpg,AI,Slap,The sailor is hold the broom,S037.jpg,Kick,n
40,S027.jpg,AC,Hold,The sailor is holding the broom.,S060.jpg,Punch,y
41,F011.jpg,,snow,It is snowing right now.,F048.jpg,iron,y
42,S116.jpg,PC,Rake,The leaves are being raked by the man.,S035.jpg,Kick,y
43,S032.jpg,AC,Hold,The professor is scolding the doctor.,S039.jpg,Kick,n
44,F036.jpg,,mop,The cheerleaders are cheering for the team.,F073.jpg,sleep,n
45,S080.jpg,AI,Scold,The professor is scold the doctor,S052.jpg,Pull,y
46,S070.jpg,PI,Push,The snowmall is being throw by the boy.,S096.jpg,Tickle,n
47,F002.jpg,,beg,The man is beg for money on the street.,F039.jpg,cough,y
48,S120.jpg,AI,Throw,The boy is throw a snowball.,S098.jpg,Tickle,y
49,S073.jpg,PC,Push,The cane is being held by the maid,S040.jpg,Kick,n
50,F024.jpg,,box,The man is ski down the mountain.,F061.jpg,make,n
51,S028.jpg,AC,Hold,The maid is holding the cane.,S048.jpg,Kiss,y
52,S012.jpg,PI,Chew,the soldier is being slap by the cowboy,S047.jpg,Kiss,n
53,F016.jpg,,slip,The man slipped on a banana peel.,F053.jpg,juggle,y
54,S094.jpg,AI,Slap,the cowboy is slap the soldier,S064.jpg,Punch,y
55,S119.jpg,PI,Tear,The piece of paper is being torn by the person's hands.,S111.jpg,Hang,y
56,F022.jpg,,golf,The boy is camp in the forest.,F059.jpg,knight,n
57,S105.jpg,PC,Touch,The ballerina is being scolded by the soldier,S061.jpg,Punch,n
58,S075.jpg,AC,Scold,The man is sending a letter.,S110.jpg,Wrap,n
59,F031.jpg,,camp,The two men are golfing.,F068.jpg,sail,n
60,S124.jpg,AI,Send,The man is send a letter.,S050.jpg,Pet,y
61,S013.jpg,PI,Clean,the swimmer is being touch by the sailor,S058.jpg,Pull,n
62,F019.jpg,,dip,The person is dipping the chip in sauce.,F056.jpg,drip,y
63,S100.jpg,AC,Touch,The man is tripping the other man.,S025.jpg,Follow,n
64,S108.jpg,PC,Trip,The man is being tripped by the other man.,S085.jpg,Shoot,y
65,F018.jpg,,salute,The soldier is saluting.,F055.jpg,eat,y
66,S112.jpg,AI,Iron,the sailor is touch the clown,S065.jpg,Punch,n
67,S101.jpg,PC,Touch,The bus is being pushed by the chef,S043.jpg,Kiss,n
