,prime_image_ID,prime_type,prime_verb,sentence,targ_image_ID,targ_verb,verif_ans
0,S107.jpg,AC,Touch,The maid is touching the computer.,S017.jpg,Fix,y
1,S027.jpg,PC,Hold,The sheep is being shaved by the man,S055.jpg,Pull,n
2,F014.jpg,,row,The boy is rowing his boat. ,F051.jpg,jump,y
3,S083.jpg,PI,Shave,The sheep is being shave by the man,S099.jpg,Tickle,y
4,S081.jpg,AI,Scold,The dog is chase the cat,S113.jpg,Scare,n
5,F019.jpg,,dip,The person is dipping the chip in sauce.,F056.jpg,drip,y
6,S011.jpg,PC,Chase,The priest is being chased by the policeman,S024.jpg,Follow,n
7,S008.jpg,AC,Chase,The policeman is chasing the priest.,S087.jpg,Shoot,y
8,F007.jpg,,bounce,The boy is bounce the basketball.,F044.jpg,operate,y
9,S090.jpg,AI,Slap,The man is trip the other man.,S023.jpg,Follow,n
10,S108.jpg,PI,Trip,The man is being trip by the other man.,S015.jpg,Dump,y
11,F033.jpg,,ski,The man is boxing.,F070.jpg,light,n
12,S120.jpg,AI,Throw,the cowboy is slap the soldier,S086.jpg,Shoot,n
13,S089.jpg,PC,Slap,the soldier is being slapped by the cowboy,S097.jpg,Tickle,y
14,F020.jpg,,cry,The boy shock himself.,F057.jpg,miss,n
15,S106.jpg,AC,Touch,The professor is scolding the doctor.,S057.jpg,Pull,n
16,S080.jpg,PI,Scold,The doctor is being scold by the professor,S042.jpg,Kiss,y
17,F015.jpg,,brush,The boy is brushing his teeth.,F052.jpg,sneeze,y
18,S105.jpg,AC,Touch,The sailor is touching the bicycle.,S041.jpg,Kiss,y
19,S076.jpg,PI,Scold,the wheelchair is being push by the cowboy,S049.jpg,Lift,n
20,F013.jpg,,balanace,The acrobat is balancing on the rope.,F050.jpg,hitchhike,y
21,S071.jpg,PC,Push,The teapot is being held by the sailor,S018.jpg,Fix,n
22,S032.jpg,AI,Hold,The sailor is hold the teapot,S123.jpg,Scoop,y
23,F011.jpg,,snow,It is snowing right now.,F048.jpg,iron,y
24,S067.jpg,AI,Push,The person is cut the apple.,S045.jpg,Kiss,n
25,S117.jpg,PC,Cut,The apple is being cut by the person.,S033.jpg,Kick,y
26,F010.jpg,,hatch,The chick just hatch.,F047.jpg,comb,y
27,S051.jpg,PI,Press,The doorbell is being press by the person,S115.jpg,Bite,y
28,S094.jpg,AC,Slap,The maid is touching the doctor.,S019.jpg,Fix,n
29,F028.jpg,,sing,The workers are mine.,F065.jpg,fence,n
30,S103.jpg,PC,Touch,The ballerina is being scolded by the soldier,S126.jpg,Carve,n
31,S075.jpg,PI,Scold,The ballerian is scold by the soldier,S026.jpg,Hit,y
32,F006.jpg,,play,The girl is play the piano.,F043.jpg,celebrate,y
