"rt","correct","stimulus","key_press","phase","verif_ans","trial_type","trial_index","time_elapsed","internal_node_id","resp_iscorrect","verif_response","responses"
"10982","true","img/F001.jpg","89","0","y","categorize-image","7","1299547","0.0-6.0-1.0","true","89",""
"24535","","","","0","","image-text","8","1324085","0.0-6.0-2.0","","","{""Q0"":""The ball is bouncing""}"
"3378","true","img/F002.jpg","89","0","y","categorize-image","10","1330977","0.0-6.0-1.1","true","89",""
"16761","","","","0","","image-text","11","1347741","0.0-6.0-2.1","","","{""Q0"":""The girl is doing a curtsy.""}"
"7525","true","img/F003.jpg","89","0","y","categorize-image","13","1358776","0.0-6.0-1.2","true","89",""
"14417","","","","0","","image-text","14","1373196","0.0-6.0-2.2","","","{""Q0"":""The man has a parachute.""}"
"4663","true","img/S117.jpg","78","1","n","categorize-image","17","1385146","0.0-8.0-1.0","true","78",""
"14455","","","","1","","image-text","18","1399605","0.0-8.0-2.0","","","{""Q0"":""The man will fix the sink.""}"
"4818","true","img/S027.jpg","89","1","y","categorize-image","20","1407926","0.0-8.0-1.1","true","89",""
"16746","","","","1","","image-text","21","1424676","0.0-8.0-2.1","","","{""Q0"":""The pirate is pulling the doctor.""}"
"4154","true","img/F005.jpg","89","1","y","categorize-image","23","1432345","0.0-8.0-1.2","true","89",""
"14119","","","","1","","image-text","24","1446467","0.0-8.0-2.2","","","{""Q0"":""He will write a book. ""}"
"3739","true","img/S083.jpg","89","1","y","categorize-image","26","1453726","0.0-8.0-1.3","true","89",""
"22971","","","","1","","image-text","27","1476699","0.0-8.0-2.3","","","{""Q0"":""The man will tickle the other man. ""}"
"2164","true","img/S114.jpg","78","1","n","categorize-image","29","1482375","0.0-8.0-1.4","true","78",""
"22722","","","","1","","image-text","30","1505099","0.0-8.0-2.4","","","{""Q0"":""The women is trying to scare the boy.""}"
"1941","true","img/F016.jpg","89","1","y","categorize-image","32","1510555","0.0-8.0-1.5","true","89",""
"11941","","","","1","","image-text","33","1522499","0.0-8.0-2.5","","","{""Q0"":""The woman knows how to juggle. ""}"
"2205","true","img/S011.jpg","89","1","y","categorize-image","35","1528214","0.0-8.0-1.6","true","89",""
"13537","","","","1","","image-text","36","1541755","0.0-8.0-2.6","","","{""Q0"":""The woman will follow the man. ""}"
"2880","true","img/S112.jpg","89","1","y","categorize-image","38","1548154","0.0-8.0-1.7","true","89",""
"16581","","","","1","","image-text","39","1564738","0.0-8.0-2.7","","","{""Q0"":""The artist shoots the lady.""}"
"7871","true","img/F001.jpg","89","1","y","categorize-image","41","1576125","0.0-8.0-1.8","true","89",""
"28883","","","","1","","image-text","42","1605010","0.0-8.0-2.8","","","{""Q0"":""The girl's hair is being curled. ""}"
"3183","true","img/S092.jpg","78","1","n","categorize-image","44","1611704","0.0-8.0-1.9","true","78",""
"12462","","","","1","","image-text","45","1624170","0.0-8.0-2.9","","","{""Q0"":""The pirate will follow the sailor.""}"
"3110","true","img/S074.jpg","78","1","n","categorize-image","47","1630794","0.0-8.0-1.10","true","78",""
"20277","","","","1","","image-text","48","1651074","0.0-8.0-2.10","","","{""Q0"":""The trash is being dumped into the truck. ""}"
"2478","true","img/F032.jpg","78","1","n","categorize-image","50","1657062","0.0-8.0-1.11","true","78",""
"12977","","","","1","","image-text","51","1670042","0.0-8.0-2.11","","","{""Q0"":""The girl is raising her hand. ""}"
"3169","true","img/S081.jpg","78","1","n","categorize-image","53","1676725","0.0-8.0-1.12","true","78",""
"16562","","","","1","","image-text","54","1693289","0.0-8.0-2.12","","","{""Q0"":""The chef is shooting the swimmer.""}"
"2870","true","img/S088.jpg","89","1","y","categorize-image","56","1699675","0.0-8.0-1.13","true","89",""
"16859","","","","1","","image-text","57","1716537","0.0-8.0-2.13","","","{""Q0"":""The woman is tickling the man.""}"
"1891","true","img/F017.jpg","89","1","y","categorize-image","59","1721945","0.0-8.0-1.14","true","89",""
"14780","","","","1","","image-text","60","1736729","0.0-8.0-2.14","","","{""Q0"":""The boy lighted the candle with a match. ""}"
"3686","true","img/S078.jpg","89","1","y","categorize-image","62","1743925","0.0-8.0-1.15","true","89",""
"18240","","","","1","","image-text","63","1762169","0.0-8.0-2.15","","","{""Q0"":""The pirate is pulling the car.""}"
"13173","true","img/S103.jpg","78","1","n","categorize-image","65","1778853","0.0-8.0-1.16","true","78",""
