"rt","correct","stimulus","key_press","phase","verif_ans","trial_type","trial_index","time_elapsed","internal_node_id","resp_iscorrect","verif_response","responses"
"4490","true","img/F002.jpg","89","0","y","categorize-image","7","551485","0.0-6.0-1.0","true","89",""
"16446","","","","0","","image-text","8","567958","0.0-6.0-2.0","","","{""Q0"":""the girl is curtsing""}"
"2796","true","img/F003.jpg","89","0","y","categorize-image","10","574264","0.0-6.0-1.1","true","89",""
"11298","","","","0","","image-text","11","585565","0.0-6.0-2.1","","","{""Q0"":""a person is parachuting""}"
"1922","true","img/F001.jpg","89","0","y","categorize-image","13","591004","0.0-6.0-1.2","true","89",""
"12279","","","","0","","image-text","14","603285","0.0-6.0-2.2","","","{""Q0"":""a boy is bouncing a ball""}"
"2142","false","img/S069.jpg","89","1","n","categorize-image","17","611424","0.0-8.0-1.0","false","89",""
"26226","","","","1","","image-text","18","637653","0.0-8.0-2.0","","","{""Q0"":""a man is fixing hand washer""}"
"2024","false","img/S079.jpg","89","1","n","categorize-image","20","643194","0.0-8.0-1.1","false","89",""
"20847","","","","1","","image-text","21","664044","0.0-8.0-2.1","","","{""Q0"":""doctor is getting pulled by pirate ""}"
"1508","true","img/F002.jpg","89","1","y","categorize-image","23","669063","0.0-8.0-1.2","true","89",""
"19089","","","","1","","image-text","24","688156","0.0-8.0-2.2","","","{""Q0"":""a grandma is coughing""}"
"3475","true","img/S094.jpg","89","1","y","categorize-image","26","695143","0.0-8.0-1.3","true","89",""
"17353","","","","1","","image-text","27","712499","0.0-8.0-2.3","","","{""Q0"":""a man is tickling robbery ""}"
"2917","true","img/S081.jpg","89","1","y","categorize-image","29","718935","0.0-8.0-1.4","true","89",""
"12867","","","","1","","image-text","30","731804","0.0-8.0-2.4","","","{""Q0"":""a women is scaring a chiled ""}"
"1768","true","img/F009.jpg","89","1","y","categorize-image","32","737083","0.0-8.0-1.5","true","89",""
"17854","","","","1","","image-text","33","754939","0.0-8.0-2.5","","","{""Q0"":""a person is rady to drill""}"
"2254","false","img/S011.jpg","89","1","n","categorize-image","35","760793","0.0-8.0-1.6","false","89",""
"22832","","","","1","","image-text","36","783627","0.0-8.0-2.6","","","{""Q0"":""a person following a man""}"
"1574","true","img/S083.jpg","89","1","y","categorize-image","38","788712","0.0-8.0-1.7","true","89",""
"12824","","","","1","","image-text","39","801539","0.0-8.0-2.7","","","{""Q0"":""man is shooting a women""}"
"2110","false","img/F027.jpg","89","1","n","categorize-image","41","807161","0.0-8.0-1.8","false","89",""
"9327","","","","1","","image-text","42","816507","0.0-8.0-2.8","","","{""Q0"":""hammering the nail down""}"
"1238","false","img/S117.jpg","89","1","n","categorize-image","44","821262","0.0-8.0-1.9","false","89",""
"24625","","","","1","","image-text","45","845890","0.0-8.0-2.9","","","{""Q0"":""a pirot following a sea person""}"
"2006","true","img/S073.jpg","89","1","y","categorize-image","47","851421","0.0-8.0-1.10","true","89",""
"17104","","","","1","","image-text","48","868538","0.0-8.0-2.10","","","{""Q0"":""a boy dumping trash in to a truk""}"
"1655","false","img/F035.jpg","89","1","n","categorize-image","50","873701","0.0-8.0-1.11","false","89",""
"10264","","","","1","","image-text","51","883978","0.0-8.0-2.11","","","{""Q0"":""a girl is fishing""}"
"1710","false","img/S067.jpg","89","1","n","categorize-image","53","889211","0.0-8.0-1.12","false","89",""
"15660","","","","1","","image-text","54","904874","0.0-8.0-2.12","","","{""Q0"":""a cook shooting a swimmer""}"
"1395","true","img/S114.jpg","89","1","y","categorize-image","56","909781","0.0-8.0-1.13","true","89",""
"14033","","","","1","","image-text","57","923817","0.0-8.0-2.13","","","{""Q0"":""a women tickling a guy""}"
"1633","true","img/F015.jpg","89","1","y","categorize-image","59","928970","0.0-8.0-1.14","true","89",""
"8532","","","","1","","image-text","60","937506","0.0-8.0-2.14","","","{""Q0"":""a women sneezing""}"
"17021","true","img/S070.jpg","78","1","n","categorize-image","62","958041","0.0-8.0-1.15","true","78",""
"17277","","","","1","","image-text","63","975321","0.0-8.0-2.15","","","{""Q0"":""a pilot pulls the car""}"
"2947","true","img/S080.jpg","89","1","y","categorize-image","65","981780","0.0-8.0-1.16","true","89",""
"14174","","","","1","","image-text","66","995969","0.0-8.0-2.16","","","{""Q0"":""a clawn and women are kissing""}"
"5616","true","img/F026.jpg","78","1","n","categorize-image","68","1005110","0.0-8.0-1.17","true","78",""
"12169","","","","1","","image-text","69","1017289","0.0-8.0-2.17","","","{""Q0"":""conductor is conducting""}"
"8457","true","img/S090.jpg","78","1","n","categorize-image","71","1029260","0.0-8.0-1.18","true","78",""
