"rt","correct","stimulus","key_press","phase","verif_ans","trial_type","trial_index","time_elapsed","internal_node_id","resp_iscorrect","verif_response","responses"
"4143","true","img/F001.jpg","89","0","y","categorize-image","7","1258743","0.0-6.0-1.0","true","89",""
"14271","","","","0","","image-text","8","1273019","0.0-6.0-2.0","","","{""Q0"":""The boy bounces the ball""}"
"1958","true","img/F002.jpg","89","0","y","categorize-image","10","1278493","0.0-6.0-1.1","true","89",""
"10883","","","","0","","image-text","11","1289378","0.0-6.0-2.1","","","{""Q0"":""The girl does a curtsy""}"
"2862","true","img/F003.jpg","89","0","y","categorize-image","13","1295752","0.0-6.0-1.2","true","89",""
"18503","","","","0","","image-text","14","1314258","0.0-6.0-2.2","","","{""Q0"":""The man glides down on his parachute.""}"
"3735","true","img/S012.jpg","89","1","y","categorize-image","17","1325862","0.0-8.0-1.0","true","89",""
"11336","","","","1","","image-text","18","1337201","0.0-8.0-2.0","","","{""Q0"":""The worker goes to fix the sink.""}"
"4392","true","img/S119.jpg","78","1","n","categorize-image","20","1345112","0.0-8.0-1.1","true","78",""
"14085","","","","1","","image-text","21","1359202","0.0-8.0-2.1","","","{""Q0"":""The man pulls the doctor.""}"
"2055","true","img/F013.jpg","89","1","y","categorize-image","23","1364772","0.0-8.0-1.2","true","89",""
"15817","","","","1","","image-text","24","1380593","0.0-8.0-2.2","","","{""Q0"":""The hitchhiker waits for a ride.""}"
"1674","true","img/S117.jpg","89","1","y","categorize-image","26","1385782","0.0-8.0-1.3","true","89",""
"14472","","","","1","","image-text","27","1400257","0.0-8.0-2.3","","","{""Q0"":""The man tickles the robber.""}"
"3150","true","img/S095.jpg","78","1","n","categorize-image","29","1406921","0.0-8.0-1.4","true","78",""
"12708","","","","1","","image-text","30","1419633","0.0-8.0-2.4","","","{""Q0"":""The man with the mask scares the boy.""}"
"2986","true","img/F036.jpg","78","1","n","categorize-image","32","1426131","0.0-8.0-1.5","true","78",""
