"rt","correct","stimulus","key_press","phase","verif_ans","trial_type","trial_index","time_elapsed","internal_node_id","resp_iscorrect","verif_response","responses"
"6911","true","img/F001.jpg","89","0","y","categorize-image","7","6793843","0.0-6.0-1.0","true","89",""
"25483","","","","0","","image-text","8","6819330","0.0-6.0-2.0","","","{""Q0"":""the ball is bouncing""}"
"3119","true","img/F002.jpg","89","0","y","categorize-image","10","6825955","0.0-6.0-1.1","true","89",""
"92026","","","","0","","image-text","11","6917985","0.0-6.0-2.1","","","{""Q0"":""the dress is curtsied ""}"
"3420","true","img/F003.jpg","89","0","y","categorize-image","13","6924914","0.0-6.0-1.2","true","89",""
"12755","","","","0","","image-text","14","6937672","0.0-6.0-2.2","","","{""Q0"":""the man is parachuting""}"
"9921","true","img/S103.jpg","78","1","n","categorize-image","17","6955970","0.0-8.0-1.0","true","78",""
"14802","","","","1","","image-text","18","6970776","0.0-8.0-2.0","","","{""Q0"":""the man is fixing pipes""}"
"2361","false","img/S071.jpg","89","1","n","categorize-image","20","6976642","0.0-8.0-1.1","false","89",""
"14561","","","","1","","image-text","21","6991208","0.0-8.0-2.1","","","{""Q0"":""a man is pulling the other""}"
"12536","true","img/F035.jpg","78","1","n","categorize-image","23","7007249","0.0-8.0-1.2","true","78",""
"9179","","","","1","","image-text","24","7016432","0.0-8.0-2.2","","","{""Q0"":""the girl is fishing""}"
"10274","true","img/S083.jpg","89","1","y","categorize-image","26","7030209","0.0-8.0-1.3","true","89",""
"16699","","","","1","","image-text","27","7046911","0.0-8.0-2.3","","","{""Q0"":""a man is tickling a thief""}"
"9457","true","img/S075.jpg","89","1","y","categorize-image","29","7059873","0.0-8.0-1.4","true","89",""
"17691","","","","1","","image-text","30","7077567","0.0-8.0-2.4","","","{""Q0"":""a person is scaring the other ""}"
"5441","true","img/F014.jpg","89","1","y","categorize-image","32","7086512","0.0-8.0-1.5","true","89",""
"8011","","","","1","","image-text","33","7094526","0.0-8.0-2.5","","","{""Q0"":""the girl is jumping""}"
"6002","true","img/S106.jpg","78","1","n","categorize-image","35","7104032","0.0-8.0-1.6","true","78",""
"9403","","","","1","","image-text","36","7113439","0.0-8.0-2.6","","","{""Q0"":""a woman is following a man""}"
"6175","true","img/S100.jpg","89","1","y","categorize-image","38","7123121","0.0-8.0-1.7","true","89",""
"11235","","","","1","","image-text","39","7134359","0.0-8.0-2.7","","","{""Q0"":""a amn is shooting another""}"
"4570","true","img/F034.jpg","78","1","n","categorize-image","41","7142431","0.0-8.0-1.8","true","78",""
"11002","","","","1","","image-text","42","7153438","0.0-8.0-2.8","","","{""Q0"":""a woman is kneeling""}"
"3921","true","img/S012.jpg","89","1","y","categorize-image","44","7160863","0.0-8.0-1.9","true","89",""
"23330","","","","1","","image-text","45","7184198","0.0-8.0-2.9","","","{""Q0"":""a pirate is following a man""}"
"5673","true","img/S089.jpg","78","1","n","categorize-image","47","7193377","0.0-8.0-1.10","true","78",""
"11274","","","","1","","image-text","48","7204654","0.0-8.0-2.10","","","{""Q0"":""the man is dumping trush""}"
"6848","true","img/F022.jpg","78","1","n","categorize-image","50","7215007","0.0-8.0-1.11","true","78",""
"24010","","","","1","","image-text","51","7239021","0.0-8.0-2.11","","","{""Q0"":""a man is knighted be someone""}"
"2304","true","img/S008.jpg","89","1","y","categorize-image","53","7244830","0.0-8.0-1.12","true","89",""
"14115","","","","1","","image-text","54","7258949","0.0-8.0-2.12","","","{""Q0"":""a man is shooting ""}"
"4521","true","img/S081.jpg","78","1","n","categorize-image","56","7266975","0.0-8.0-1.13","true","78",""
