"rt","correct","stimulus","key_press","phase","verif_ans","trial_type","trial_index","time_elapsed","internal_node_id","resp_iscorrect","verif_response","responses"
"7871","true","img/F003.jpg","89","0","y","categorize-image","7","1106871","0.0-6.0-1.0","true","89",""
"18745","","","","0","","image-text","8","1125620","0.0-6.0-2.0","","","{""Q0"":""gentelman parachuting""}"
"3537","true","img/F002.jpg","89","0","y","categorize-image","10","1132662","0.0-6.0-1.1","true","89",""
"19883","","","","0","","image-text","11","1152547","0.0-6.0-2.1","","","{""Q0"":""girl is bowing""}"
"4113","true","img/F001.jpg","89","0","y","categorize-image","13","1160165","0.0-6.0-1.2","true","89",""
"19907","","","","0","","image-text","14","1180075","0.0-6.0-2.2","","","{""Q0"":""boy is dribbling the ball and it is bouncing""}"
"8329","true","img/S125.jpg","89","1","y","categorize-image","17","1194404","0.0-8.0-1.0","true","89",""
"9515","","","","1","","image-text","18","1203923","0.0-8.0-2.0","","","{""Q0"":""man is fixing the sink""}"
"6897","true","img/S122.jpg","78","1","n","categorize-image","20","1214325","0.0-8.0-1.1","true","78",""
"35385","","","","1","","image-text","21","1249715","0.0-8.0-2.1","","","{""Q0"":""the man is pulling the doctor with a rope""}"
"3400","true","img/F019.jpg","89","1","y","categorize-image","23","1256628","0.0-8.0-1.2","true","89",""
"14227","","","","1","","image-text","24","1270857","0.0-8.0-2.2","","","{""Q0"":""the water is dripping out the faucet""}"
"5976","true","img/S011.jpg","78","1","n","categorize-image","26","1280340","0.0-8.0-1.3","true","78",""
"31930","","","","1","","image-text","27","1312275","0.0-8.0-2.3","","","{""Q0"":""the man is tickling the burglur ""}"
"3935","true","img/S009.jpg","89","1","y","categorize-image","29","1319715","0.0-8.0-1.4","true","89",""
"21930","","","","1","","image-text","30","1341650","0.0-8.0-2.4","","","{""Q0"":""the woman is scarig the kid with her mask""}"
"4059","true","img/F008.jpg","89","1","y","categorize-image","32","1349219","0.0-8.0-1.5","true","89",""
"11130","","","","1","","image-text","33","1360353","0.0-8.0-2.5","","","{""Q0"":""the person is knitting""}"
"5569","false","img/S027.jpg","78","1","y","categorize-image","35","1369427","0.0-8.0-1.6","false","78",""
"14371","","","","1","","image-text","36","1383801","0.0-8.0-2.6","","","{""Q0"":""the nun is following the soldier""}"
"4696","true","img/S070.jpg","89","1","y","categorize-image","38","1392003","0.0-8.0-1.7","true","89",""
"23890","","","","1","","image-text","39","1415897","0.0-8.0-2.7","","","{""Q0"":""the man with a hat is shooting the shirtless man""}"
"2425","true","img/F023.jpg","78","1","n","categorize-image","41","1421826","0.0-8.0-1.8","true","78",""
"7890","","","","1","","image-text","42","1429721","0.0-8.0-2.8","","","{""Q0"":""the baby is crawling""}"
"5273","true","img/S016.jpg","78","1","n","categorize-image","44","1438499","0.0-8.0-1.9","true","78",""
"15539","","","","1","","image-text","45","1454041","0.0-8.0-2.9","","","{""Q0"":""the pirate is following the sailor""}"
"2763","true","img/S007.jpg","78","1","n","categorize-image","47","1460338","0.0-8.0-1.10","true","78",""
"12650","","","","1","","image-text","48","1472992","0.0-8.0-2.10","","","{""Q0"":""the man is dumping the garbage in the garbage truck""}"
"3043","true","img/F003.jpg","89","1","y","categorize-image","50","1479538","0.0-8.0-1.11","true","89",""
"13906","","","","1","","image-text","51","1493448","0.0-8.0-2.11","","","{""Q0"":""the kid is hiding behind the curtain""}"
"2586","true","img/S013.jpg","89","1","y","categorize-image","53","1499538","0.0-8.0-1.12","true","89",""
"21930","","","","1","","image-text","54","1521471","0.0-8.0-2.12","","","{""Q0"":""the chef is shooting the swimmer""}"
"3794","true","img/S077.jpg","78","1","n","categorize-image","56","1528770","0.0-8.0-1.13","true","78",""
"19786","","","","1","","image-text","57","1548559","0.0-8.0-2.13","","","{""Q0"":""the waitress is tickling the man""}"
"3330","true","img/F007.jpg","89","1","y","categorize-image","59","1555394","0.0-8.0-1.14","true","89",""
"12441","","","","1","","image-text","60","1567839","0.0-8.0-2.14","","","{""Q0"":""the surgeon is operating on his patient""}"
"3617","true","img/S069.jpg","78","1","n","categorize-image","62","1574961","0.0-8.0-1.15","true","78",""
"17004","","","","1","","image-text","63","1591967","0.0-8.0-2.15","","","{""Q0"":""the pirate is pulling the car with a rope""}"
"2785","true","img/S031.jpg","89","1","y","categorize-image","65","1598257","0.0-8.0-1.16","true","89",""
"18042","","","","1","","image-text","66","1616303","0.0-8.0-2.16","","","{""Q0"":""the nun is kissing the clown""}"
"2322","true","img/F006.jpg","89","1","y","categorize-image","68","1622128","0.0-8.0-1.17","true","89",""
"19010","","","","1","","image-text","69","1641142","0.0-8.0-2.17","","","{""Q0"":""the parents are celebrating their kid's birthday""}"
