rt,stimulus,phase,resp_iscorrect,verif_rt,responses,descr_rt,prime_type,sentence,targ_verb,prime_verb,prime_image_ID,verif_ans
6833,img/S094.jpg,1,True,6833.0,"{""Q0"":""The worker is fixing the sink pipe.""}",34410.0,AC,The cowboy is slapping the sailor.,Fix,Slap,S094.jpg,y
4800,img/S010.jpg,1,True,4800.0,"{""Q0"":""The pariot is trying to pull the doctor by the rope.""}",39434.0,PI,The swimmer is being chase by the policeman,Pull,Chase,S010.jpg,y
10081,img/S011.jpg,1,True,10081.0,"{""Q0"":""The theft is tckled by the sodier.""}",71754.0,AI,The policeman is scold the priest.,Tickle,Chase,S011.jpg,n
6885,img/S081.jpg,1,True,6885.0,"{""Q0"":""The lady is trying to scare the girl by the mask.""}",31355.0,PC,The cart is being pushed by the worker,Scare,Scold,S081.jpg,n
4553,img/S074.jpg,1,True,4553.0,"{""Q0"":""A sodier is followed by a non.""}",30570.0,PC,the soldier is being slapped by the cowboy,Follow,Push,S074.jpg,n
5905,img/S089.jpg,1,True,5905.0,"{""Q0"":""The painter shoots the dancer.""}",35115.0,AI,The person is press the doorbell,Shoot,Slap,S089.jpg,n
10679,img/S051.jpg,1,True,10679.0,"{""Q0"":""A pariot is following a sailor.""}",29929.0,AC,The person is pressing the doorbell.,Follow,Press,S051.jpg,y
4129,img/S108.jpg,1,True,4129.0,"{""Q0"":""The man is dumping the garbage to the truck.""}",28122.0,PI,The man is being trip by the other man.,Dump,Trip,S108.jpg,y
10043,img/S083.jpg,1,True,10043.0,"{""Q0"":""A chief shoots a swimer.""}",32610.0,PC,The mop is being held by the soldier,Shoot,Shave,S083.jpg,n
5416,img/S031.jpg,1,True,5416.0,"{""Q0"":""A priest is tickled by a waitress.""}",30131.0,AC,The soldier is holding the mop.,Tickle,Hold,S031.jpg,y
2705,img/S032.jpg,1,True,2705.0,"{""Q0"":""The pariot is pulling a car.""}",18019.0,AI,The sailor is hold the teapot,Pull,Hold,S032.jpg,y
9336,img/S075.jpg,1,True,9336.0,"{""Q0"":""A nun kisses a man.""}",19107.0,PI,the clown is being touch by the sailor,Kiss,Scold,S075.jpg,n
2656,img/S101.jpg,1,True,2656.0,"{""Q0"":""A painter is trying to kiss the danser,""}",41338.0,AC,The man is sending a letter.,Kiss,Touch,S101.jpg,n
3163,img/S124.jpg,1,True,3163.0,"{""Q0"":""A boy is trying to left the bucket.""}",19290.0,PI,The letter is being send by the man.,Lift,Send,S124.jpg,y
2507,img/S028.jpg,1,True,2507.0,"{""Q0"":""A worker is fixing the car.""}",11027.0,PC,the bicycle is being touched by the sailor,Fix,Hold,S028.jpg,n
11144,img/S105.jpg,1,True,11144.0,"{""Q0"":""A scoop of ice-cream.""}",17538.0,AI,the sailor is touch the bicycle,Scoop,Touch,S105.jpg,y
2625,img/S013.jpg,1,True,2625.0,"{""Q0"":""A nun kisses a boxer.""}",15458.0,AC,The woman is cleaning the window.,Kiss,Clean,S013.jpg,y
5183,img/S069.jpg,1,True,5183.0,"{""Q0"":""A policeman kicks a man.""}",19113.0,PC,the swimmer is being slapped by the policeman,Kick,Push,S069.jpg,n
3270,img/S092.jpg,1,False,3270.0,"{""Q0"":""A bird bites some's hand.""}",18660.0,PI,the swimmer is being slap by the policeman,Bite,Slap,S092.jpg,y
3843,img/S008.jpg,1,True,3843.0,"{""Q0"":""A boy is fixing a bike.""}",12547.0,AI,the sailor is touch the television,Fix,Chase,S008.jpg,n
3274,img/S104.jpg,1,True,3274.0,"{""Q0"":""Someone is carving a figure.""}",16611.0,PI,the wheelchair is being push by the cowboy,Carve,Touch,S104.jpg,n
2664,img/S071.jpg,1,True,2664.0,"{""Q0"":""The player hits the baseball.""}",18050.0,AI,The man is pay for milk.,Hit,Push,S071.jpg,n
4015,img/S125.jpg,1,True,4015.0,"{""Q0"":""A painter kisses a sodier.""}",14082.0,PC,The milk is being paid for by the man.,Kiss,Pay,S125.jpg,y
5267,img/S067.jpg,1,True,5267.0,"{""Q0"":""A policeman kicks a boxer.""}",22739.0,AC,The chef is pushing the priest.,Kick,Push,S067.jpg,y
2705,img/S106.jpg,1,True,2705.0,"{""Q0"":""A pariot is trying to pull the bathshower.""}",35202.0,AI,The maid is touch the snake,Pull,Touch,S106.jpg,y
3432,img/S080.jpg,1,True,3432.0,"{""Q0"":""The player catched the ball.""}",14923.0,PI,The plant is being water by the woman.,Catch,Scold,S080.jpg,n
2886,img/S109.jpg,1,True,2886.0,"{""Q0"":""A policeman is kicking the lamp.""}",25787.0,PC,The plant is being watered by the woman.,Kick,Water,S109.jpg,y
