rt,stimulus,phase,resp_iscorrect,verif_rt,responses,descr_rt,prime_image_ID,prime_type,prime_verb,sentence,targ_verb,verif_ans
4663,img/S117.jpg,1,True,4663.0,"{""Q0"":""The man will fix the sink.""}",14455.0,S117.jpg,PI,Cut,The broom is being hold by the broom,Fix,n
4818,img/S027.jpg,1,True,4818.0,"{""Q0"":""The pirate is pulling the doctor.""}",16746.0,S027.jpg,PC,Hold,The broom is being held by the sailor,Pull,y
4154,img/F005.jpg,1,True,4154.0,"{""Q0"":""He will write a book. ""}",14119.0,F005.jpg,,clap,The man is clap after the performance,write,y
3739,img/S083.jpg,1,True,3739.0,"{""Q0"":""The man will tickle the other man. ""}",22971.0,S083.jpg,AI,Shave,The man is shave the sheep,Tickle,y
2164,img/S114.jpg,1,True,2164.0,"{""Q0"":""The women is trying to scare the boy.""}",22722.0,S114.jpg,AC,Send,The dog is chasing the cat.,Scare,n
1941,img/F016.jpg,1,True,1941.0,"{""Q0"":""The woman knows how to juggle. ""}",11941.0,F016.jpg,,slip,The man slipped on a banana peel.,juggle,y
2205,img/S011.jpg,1,True,2205.0,"{""Q0"":""The woman will follow the man. ""}",13537.0,S011.jpg,AC,Chase,The dog is chasing the cat.,Follow,y
2880,img/S112.jpg,1,True,2880.0,"{""Q0"":""The artist shoots the lady.""}",16581.0,S112.jpg,PI,Iron,The clothes are being iron by the woman.,Shoot,y
7871,img/F001.jpg,1,True,7871.0,"{""Q0"":""The girl's hair is being curled. ""}",28883.0,F001.jpg,,hammer,The person is hit the nail with the hammer.,curl,y
3183,img/S092.jpg,1,True,3183.0,"{""Q0"":""The pirate will follow the sailor.""}",12462.0,S092.jpg,PC,Slap,The cart is being pushed by the worker,Follow,n
3110,img/S074.jpg,1,True,3110.0,"{""Q0"":""The trash is being dumped into the truck. ""}",20277.0,S074.jpg,AI,Push,The policeman is scold the priest.,Dump,n
2478,img/F032.jpg,1,True,2478.0,"{""Q0"":""The girl is raising her hand. ""}",12977.0,F032.jpg,,whisper,The woman is cooking a burger patty.,raise,n
3169,img/S081.jpg,1,True,3169.0,"{""Q0"":""The chef is shooting the swimmer.""}",16562.0,S081.jpg,PC,Scold,the professor is being slapped by the cowboy,Shoot,n
2870,img/S088.jpg,1,True,2870.0,"{""Q0"":""The woman is tickling the man.""}",16859.0,S088.jpg,AC,Slap,The cowboy is slapping the professor.,Tickle,y
1891,img/F017.jpg,1,True,1891.0,"{""Q0"":""The boy lighted the candle with a match. ""}",14780.0,F017.jpg,,shower,The person is showering. ,light,y
3686,img/S078.jpg,1,True,3686.0,"{""Q0"":""The pirate is pulling the car.""}",18240.0,S078.jpg,PI,Scold,The doctor is being scold by the policeman,Pull,y
13173,img/S103.jpg,1,True,13173.0,"{""Q0"":""The two people are about to kiss. ""}",19913.0,S103.jpg,AI,Touch,The maid is touch the snake,Kiss,n
