rt,stimulus,phase,resp_iscorrect,verif_rt,responses,descr_rt,prime_image_ID,prime_type,prime_verb,sentence,targ_verb,verif_ans
3337,img/S027.jpg,1,True,3337.0,"{""Q0"":""he fixed the sink""}",7578.0,S027.jpg,AI,Hold,The maid is hold the cane,Fix,n
3393,img/S028.jpg,1,True,3393.0,"{""Q0"":""he pulled the rope""}",11480.0,S028.jpg,AC,Hold,The cowboy is slapping the sailor.,Pull,n
5791,img/F026.jpg,1,True,5791.0,"{""Q0"":""he conducted the orchestra""}",7369.0,F026.jpg,,laugh,The grandmother swat at the fly.,conduct,n
11200,img/S094.jpg,1,False,11200.0,"{""Q0"":""the soldier tickled the robber""}",12338.0,S094.jpg,PI,Slap,the soldier is being slap by the cowboy,Tickle,y
5560,img/S106.jpg,1,True,5560.0,"{""Q0"":""the person in a mask was scaring the boy""}",16729.0,S106.jpg,PC,Touch,The snake is being touched by the maid,Scare,y
3425,img/F030.jpg,1,True,3425.0,"{""Q0"":""the boy skated""}",6283.0,F030.jpg,,smile,The little boy is crying.,skate,n
4352,img/S009.jpg,1,True,4352.0,"{""Q0"":""the nun followed the soldier""}",9521.0,S009.jpg,AC,Chase,The nurse is chasing the thief.,Follow,y
3640,img/S117.jpg,1,True,3640.0,"{""Q0"":""the artist shot the ballerina""}",11379.0,S117.jpg,PC,Cut,the swimmer is being slapped by the policeman,Shoot,n
1833,img/F031.jpg,1,True,1833.0,"{""Q0"":""the boat was sailing""}",8171.0,F031.jpg,,camp,The two men are golfing.,sail,n
3777,img/S092.jpg,1,True,3777.0,"{""Q0"":""the pirate followed the sailor""}",10425.0,S092.jpg,AI,Slap,the policeman is slap the swimmer,Follow,y
2111,img/S108.jpg,1,True,2111.0,"{""Q0"":""he dumped the trash""}",11234.0,S108.jpg,PI,Trip,The car is being push by the man,Dump,n
2329,img/F035.jpg,1,True,2329.0,"{""Q0"":""she fished""}",7009.0,F035.jpg,,swat,The family is laughing together. ,fish,n
1801,img/S073.jpg,1,True,1801.0,"{""Q0"":""the chef shot the swimmer""}",10979.0,S073.jpg,PI,Push,The wrestler is scold by the soldier,Shoot,n
3863,img/S076.jpg,1,True,3863.0,"{""Q0"":""the maid tickled the man""}",10523.0,S076.jpg,AC,Scold,The soldier is scolding the wrestler.,Tickle,y
1536,img/F014.jpg,1,True,1536.0,"{""Q0"":""the girl jumped through the grass""}",10474.0,F014.jpg,,row,The boy is rowing his boat. ,jump,y
1888,img/S119.jpg,1,True,1888.0,"{""Q0"":""he pulled the car with a rope""}",9715.0,S119.jpg,PC,Tear,The leaves are being raked by the man.,Pull,n
2105,img/S116.jpg,1,True,2105.0,"{""Q0"":""she kissed him""}",8307.0,S116.jpg,AI,Rake,The man is rake the leaves.,Kiss,y
5080,img/F004.jpg,1,False,5080.0,"{""Q0"":""she is drying her hair""}",14673.0,F004.jpg,,clap,The person is clap after cleaning.,dry,y
1754,img/S109.jpg,1,True,1754.0,"{""Q0"":""he tried to kiss her""}",15482.0,S109.jpg,PC,Water,The snowball is being thrown by the boy.,Kiss,n
1665,img/S120.jpg,1,True,1665.0,"{""Q0"":""the boy lifted the bucket""}",6844.0,S120.jpg,AC,Throw,The boy is throwing a snowball.,Lift,y
2545,img/F010.jpg,1,True,2545.0,"{""Q0"":""he combed his hair""}",4882.0,F010.jpg,,hatch,The chick just hatch.,comb,y
4186,img/S080.jpg,1,True,4186.0,"{""Q0"":""he fixed the car""}",6921.0,S080.jpg,PI,Scold,The doctor is being scold by the professor,Fix,y
