rt,stimulus,phase,resp_iscorrect,verif_rt,responses,descr_rt,prime_image_ID,prime_type,prime_verb,sentence,targ_verb,verif_ans
7937,img/S103.jpg,1,True,7937.0,"{""Q0"":""he is fixing something""}",10601.0,S103.jpg,PC,Touch,The priest is being chased by the policeman,Fix,n
5830,img/S008.jpg,1,True,5830.0,"{""Q0"":""he is pulling""}",11441.0,S008.jpg,AC,Chase,The person is tearing a piece of paper.,Pull,n
2928,img/F015.jpg,1,True,2928.0,"{""Q0"":""she is sneezing""}",9505.0,F015.jpg,,brush,The boy is brushing his teeth.,sneeze,y
2510,img/S119.jpg,1,True,2510.0,"{""Q0"":""he is tickling the other man""}",14422.0,S119.jpg,PI,Tear,The piece of paper is being torn by the person's hands.,Tickle,y
4415,img/S088.jpg,1,True,4415.0,"{""Q0"":""she is scaring them""}",8701.0,S088.jpg,AI,Slap,the cowboy is slap the professor,Scare,y
2038,img/F016.jpg,1,True,2038.0,"{""Q0"":""they are juggling""}",7472.0,F016.jpg,,slip,The man slipped on a banana peel.,juggle,y
6368,img/S076.jpg,1,False,6368.0,"{""Q0"":""the nun is following the soldier""}",15473.0,S076.jpg,PC,Scold,The wrestler is being scolded by the soldier,Follow,y
4936,img/S003.jpg,1,True,4936.0,"{""Q0"":""the man is shooting the girl""}",8968.0,S003.jpg,AI,chase,The pirate is chase the thief,Shoot,n
2329,img/F036.jpg,1,True,2329.0,"{""Q0"":""she is sleeping""}",4802.0,F036.jpg,,mop,The cheerleaders are cheering for the team.,sleep,n
1744,img/S007.jpg,1,True,1744.0,"{""Q0"":""the pirate is following the sailor""}",9310.0,S007.jpg,AC,Chase,The person is cutting the apple.,Follow,n
7457,img/S117.jpg,1,True,7457.0,"{""Q0"":""the man is dumping into the truck""}",11732.0,S117.jpg,PI,Cut,The apple is cutted by the person.,Dump,y
1549,img/F018.jpg,1,True,1549.0,"{""Q0"":""the boy is eating""}",4554.0,F018.jpg,,salute,The soldier is saluting.,eat,y
2151,img/S101.jpg,1,True,2151.0,"{""Q0"":""the chef is shooting the swimmer""}",11484.0,S101.jpg,AC,Touch,The sailor is touching the clown.,Shoot,y
2374,img/S012.jpg,1,True,2374.0,"{""Q0"":""the lady is tickling the patient""}",9625.0,S012.jpg,AI,Chew,The policeman is scold the priest.,Tickle,n
1987,img/F035.jpg,1,True,1987.0,"{""Q0"":""she is fishing""}",9080.0,F035.jpg,,swat,The family is laughing together. ,fish,n
3454,img/S081.jpg,1,True,3454.0,"{""Q0"":""the pirate is pulling the car""}",9303.0,S081.jpg,PC,Scold,The priest is being scolded by the policeman,Pull,y
2865,img/S072.jpg,1,True,2865.0,"{""Q0"":""the nun is kissing the clown""}",16630.0,S072.jpg,PI,Push,The priest is being push by the chef,Kiss,n
2256,img/F003.jpg,1,True,2256.0,"{""Q0"":""the child is hiding""}",5606.0,F003.jpg,,bow,The gentleman is bow to the crowd.,hide,y
1627,img/S067.jpg,1,True,1627.0,"{""Q0"":""the artist is kissing the ballerina""}",11858.0,S067.jpg,PI,Push,The snake is being touch by the maid,Kiss,n
2099,img/S106.jpg,1,True,2099.0,"{""Q0"":""the person is lifting the bucket""}",9560.0,S106.jpg,AI,Touch,The maid is touch the snake,Lift,y
3031,img/F002.jpg,1,True,3031.0,"{""Q0"":""the person is coughing""}",5809.0,F002.jpg,,beg,The man is beg for money on the street.,cough,y
2637,img/S095.jpg,1,True,2637.0,"{""Q0"":""the man is fixing the vehicle""}",10752.0,S095.jpg,AC,Slap,The cowboy is slapping the ballerina.,Fix,y
2127,img/S112.jpg,1,True,2127.0,"{""Q0"":""the person is scooping  ice cream""}",8732.0,S112.jpg,PC,Iron,The cart is being pushed by the worker,Scoop,n
1988,img/F023.jpg,1,True,1988.0,"{""Q0"":""the child is crawling""}",6408.0,F023.jpg,,cook,The two girls are whisper.,crawl,n
1506,img/S074.jpg,1,True,1506.0,"{""Q0"":""the nun is kissing the boxer""}",8001.0,S074.jpg,AC,Push,The woman is cleaning the window.,Kiss,n
3924,img/S013.jpg,1,True,3924.0,"{""Q0"":""the officer is kicking the clown""}",6473.0,S013.jpg,PI,Clean,The window is being clean by the woman,Kick,y
1347,img/F017.jpg,1,True,1347.0,"{""Q0"":""the person is lighting the candle""}",9071.0,F017.jpg,,shower,The person is showering. ,light,y
1752,img/S031.jpg,1,True,1752.0,"{""Q0"":""the bird is biting a hand""}",5628.0,S031.jpg,PC,Hold,The wrestler is being scolded by the professor,Bite,n
2405,img/S079.jpg,1,True,2405.0,"{""Q0"":""the boy is fixing the bike""}",7735.0,S079.jpg,AI,Scold,The professor is scold the wrestler,Fix,y
1347,img/F008.jpg,1,True,1347.0,"{""Q0"":""the person is kniting""}",5329.0,F008.jpg,,curtsy,The girl is curtsy.,knit,y
2100,img/S102.jpg,1,True,2100.0,"{""Q0"":""the person is carving""}",8594.0,S102.jpg,PI,Touch,The car is being push by the man,Carve,n
1760,img/S073.jpg,1,True,1760.0,"{""Q0"":""the player is hiting the ball""}",10162.0,S073.jpg,AC,Push,The man is pushing the car.,Hit,y
2880,img/F034.jpg,1,True,2880.0,"{""Q0"":""the person is kneeling""}",6466.0,F034.jpg,,buckle,The woman is making the bed.,kneel,n
2634,img/S010.jpg,1,True,2634.0,"{""Q0"":""the artist is kissing the soldier""}",12150.0,S010.jpg,PC,Chase,The thief is being chased by the nurse,Kiss,n
2014,img/S009.jpg,1,True,2014.0,"{""Q0"":""the officer is kicking the wrestler""}",9646.0,S009.jpg,AI,Chase,The nurse is chase the thief,Kick,y
1732,img/F014.jpg,1,True,1732.0,"{""Q0"":""the girl is jumping""}",6765.0,F014.jpg,,row,The boy is rowing his boat. ,jump,y
1896,img/S080.jpg,1,True,1896.0,"{""Q0"":""the pirate is pulling the shower""}",7928.0,S080.jpg,PC,Scold,The milk is being paid for by the man.,Pull,n
1716,img/S125.jpg,1,True,1716.0,"{""Q0"":""the player is carching the ball""}",8041.0,S125.jpg,AC,Pay,The man is paying for milk.,Catch,y
1582,img/F012.jpg,1,True,1582.0,"{""Q0"":""the person is falling off the ladder""}",7990.0,F012.jpg,,bounce,The boy is bouncing the basketball.,fall,y
2236,img/S030.jpg,1,True,2236.0,"{""Q0"":""the officer is kicking the lamp""}",7969.0,S030.jpg,AI,Hold,The pirate is chase the swimmer,Kick,n
1667,img/S005.jpg,1,True,1667.0,"{""Q0"":""the cowboy is punching the robber""}",7937.0,S005.jpg,PI,Chase,the swimmer is being chase by the pirate,Punch,y
1816,img/F024.jpg,1,True,1816.0,"{""Q0"":""the person is making the bed""}",6519.0,F024.jpg,,box,The man is ski down the mountain.,make,n
2260,img/S006.jpg,1,True,2260.0,"{""Q0"":""the nurse is kciking the clown""}",12717.0,S006.jpg,AI,Chase,The nurse is chase the doctor,Kick,y
5617,img/S089.jpg,1,True,5617.0,"{""Q0"":""the nurse is kicking the bottle""}",9113.0,S089.jpg,PC,Slap,the wrestler is being slapped by the policeman,Kick,n
2071,img/F009.jpg,1,True,2071.0,"{""Q0"":""the hand is drilling""}",5861.0,F009.jpg,,parachute,The man is parachute to the ground.,drill,y
2014,img/S093.jpg,1,True,2014.0,"{""Q0"":""the pirate is pulling the girl""}",8598.0,S093.jpg,AC,Slap,The policeman is slapping the wrestler.,Pull,y
1481,img/S120.jpg,1,True,1481.0,"{""Q0"":""the nurse is tickling the doctor""}",7284.0,S120.jpg,PI,Throw,The leaves are being rake by the man.,Tickle,n
1442,img/F011.jpg,1,True,1442.0,"{""Q0"":""the person is ironing""}",5836.0,F011.jpg,,snow,It is snowing right now.,iron,y
1731,img/S116.jpg,1,True,1731.0,"{""Q0"":""the soldier is tickling the girl""}",7275.0,S116.jpg,AC,Rake,The woman is watering the plant.,Tickle,n
1242,img/S109.jpg,1,True,1242.0,"{""Q0"":""the nurse is kicking the kettle""}",11692.0,S109.jpg,AI,Water,The woman is water the plant.,Kick,y
3129,img/F004.jpg,1,False,3129.0,"{""Q0"":""the woman is drying her hair""}",6345.0,F004.jpg,,clap,The person is clap after cleaning.,dry,y
2977,img/S011.jpg,1,True,2977.0,"{""Q0"":""the artist is kissing the clown""}",9289.0,S011.jpg,PI,Chase,the television is being touch by the sailor,Kiss,n
2867,img/S104.jpg,1,True,2867.0,"{""Q0"":""the nun is kissing the girl""}",9617.0,S104.jpg,PC,Touch,the television is being touched by the sailor,Kiss,y
1786,img/F032.jpg,1,True,1786.0,"{""Q0"":""the child is raising their hand""}",7128.0,F032.jpg,,whisper,The woman is cooking a burger patty.,raise,n
3263,img/S107.jpg,1,True,3263.0,"{""Q0"":""the artist is punching the boxer""}",7769.0,S107.jpg,PC,Touch,The computer is being touched by the maid,Punch,y
2699,img/S124.jpg,1,True,2699.0,"{""Q0"":""the person is hanging clothes""}",8745.0,S124.jpg,AI,Send,The man is trip the other man.,Hang,n
2194,img/F013.jpg,1,True,2194.0,"{""Q0"":""the person is hitchhiking""}",10535.0,F013.jpg,,balanace,The acrobat is balancing on the rope.,hitchhike,y
4848,img/S108.jpg,1,True,4848.0,"{""Q0"":""the cowboy is punching the swimmer""}",7475.0,S108.jpg,PI,Trip,The girl is being give a present from the man.,Punch,n
1522,img/S122.jpg,1,True,1522.0,"{""Q0"":""the girl is wrapping""}",5964.0,S122.jpg,AC,Give,The man is giving the girl a present.,Wrap,y
1319,img/F028.jpg,1,True,1319.0,"{""Q0"":""the person is fencing""}",8197.0,F028.jpg,,sing,The workers are mine.,fence,n
1303,img/S016.jpg,1,True,1303.0,"{""Q0"":""the girl is petting the cat""}",6415.0,S016.jpg,PI,Erase,The board is being erase by the teacher,Pet,y
4562,img/S094.jpg,1,True,4562.0,"{""Q0"":""the boxer is pulling the box""}",6973.0,S094.jpg,AI,Slap,The sodier is scold the ballerina,Pull,n
1349,img/F030.jpg,1,True,1349.0,"{""Q0"":""the boy is skating""}",5292.0,F030.jpg,,smile,The little boy is crying.,skate,n
2087,img/S075.jpg,1,True,2087.0,"{""Q0"":""the ducklings are following the mom""}",7488.0,S075.jpg,PC,Scold,The soldier is being scolded by the professor,Follow,n
2603,img/S077.jpg,1,True,2603.0,"{""Q0"":""the artist is shooting the thief""}",10134.0,S077.jpg,AC,Scold,The professor is scolding the soldier.,Shoot,y
1312,img/F033.jpg,1,True,1312.0,"{""Q0"":""the person is lighting a candle""}",8022.0,F033.jpg,,ski,The man is boxing.,light,n
1680,img/S105.jpg,1,True,1680.0,"{""Q0"":""the artist is punching the girl""}",7042.0,S105.jpg,PI,Touch,The broom is being hold by the broom,Punch,n
1660,img/S027.jpg,1,True,1660.0,"{""Q0"":""the artist is kissing the boxer""}",6421.0,S027.jpg,PC,Hold,the ballerina is being pushed by the cowboy,Kiss,n
1854,img/F005.jpg,1,True,1854.0,"{""Q0"":""the person is writing""}",5951.0,F005.jpg,,clap,The man is clap after the performance,write,y
1493,img/S068.jpg,1,True,1493.0,"{""Q0"":""the boy is fixing the chair""}",7926.0,S068.jpg,AC,Push,The cowboy is pushing the ballerina.,Fix,y
4186,img/S028.jpg,1,True,4186.0,"{""Q0"":""the pirate is pulling the panda""}",7288.0,S028.jpg,AI,Hold,The maid is hold the cane,Pull,y
1596,img/F010.jpg,1,True,1596.0,"{""Q0"":""the person is combing their hair""}",10793.0,F010.jpg,,hatch,The chick just hatch.,comb,y
2704,img/S069.jpg,1,True,2704.0,"{""Q0"":""the child is dragging the bag""}",7327.0,S069.jpg,PI,Push,the priest is being slap by the policeman,Drag,n
2183,img/S091.jpg,1,True,2183.0,"{""Q0"":""the person is squeezing a lemon""}",9193.0,S091.jpg,AI,Slap,the sailor is touch the swimmer,Squeeze,n
1463,img/F021.jpg,1,True,1463.0,"{""Q0"":""the man is smmoking""}",4900.0,F021.jpg,,cry,The girl is smile at the camera.,smoke,n
