rt,stimulus,phase,resp_iscorrect,verif_rt,responses,descr_rt,prime_type,sentence,targ_verb,prime_verb,prime_image_ID,verif_ans
6394,img/S027.jpg,1,True,6394.0,"{""Q0"":""The man is fixing the pipe""}",13383.0,AI,The sailor is hold the broom,Fix,Hold,S027.jpg,y
3920,img/S094.jpg,1,True,3920.0,"{""Q0"":""The pirate is pulling the doctor""}",18121.0,AC,The pirate is chasing the swimmer.,Pull,Slap,S094.jpg,n
4144,img/S005.jpg,1,True,4144.0,"{""Q0"":""The soldier is tickling the thief.""}",22902.0,PC,the ballerina is being pushed by the cowboy,Tickle,Chase,S005.jpg,n
5407,img/S068.jpg,1,True,5407.0,"{""Q0"":""The girl is tryying to scare the boy.""}",16000.0,PI,the ballerina is being push by the cowboy,Scare,Push,S068.jpg,y
6521,img/S107.jpg,1,True,6521.0,"{""Q0"":""The woman is following the soldier.""}",20174.0,AI,The maid is touch the computer,Follow,Touch,S107.jpg,y
3783,img/S079.jpg,1,True,3783.0,"{""Q0"":""The artist is shooting the balleria.""}",24086.0,PI,the wrestler is being slap by the policeman,Shoot,Scold,S079.jpg,n
3586,img/S093.jpg,1,True,3586.0,"{""Q0"":""The pirate is following the sailor.""}",17682.0,PC,the clown is being touched by the sailor,Follow,Slap,S093.jpg,n
3525,img/S101.jpg,1,True,3525.0,"{""Q0"":""The man is dumping the trash.""}",9039.0,AC,The sailor is touching the clown.,Dump,Touch,S101.jpg,y
3216,img/S117.jpg,1,True,3216.0,"{""Q0"":""The cook is shooting a swimmer.""}",22241.0,PC,The soldier is being scolded by the professor,Shoot,Cut,S117.jpg,n
3924,img/S077.jpg,1,True,3924.0,"{""Q0"":""The maid is tickling the monk.""}",16512.0,AI,The professor is scold the soldier,Tickle,Scold,S077.jpg,y
5624,img/S010.jpg,1,True,5624.0,"{""Q0"":""The pirate is pulling the car.""}",11398.0,AC,The policeman is chasing the swimmer.,Pull,Chase,S010.jpg,y
2539,img/S095.jpg,1,True,2539.0,"{""Q0"":""The woman is trying to kiss the clown.""}",27811.0,PI,The thief is being chase by the nurse,Kiss,Slap,S095.jpg,n
4154,img/S009.jpg,1,True,4154.0,"{""Q0"":""The artist is trying to kiss the balleria.""}",15296.0,AC,The dog is chasing the cat.,Kiss,Chase,S009.jpg,n
5067,img/S011.jpg,1,True,5067.0,"{""Q0"":""The boy is lifting a buckle of sand.""}",18362.0,PC,The cat is being chased by the dog,Lift,Chase,S011.jpg,y
3355,img/S122.jpg,1,True,3355.0,"{""Q0"":""The man is fixing the car.""}",9495.0,AI,The maid is hold the chain,Fix,Give,S122.jpg,n
3154,img/S029.jpg,1,True,3154.0,"{""Q0"":""A person is scooping a scoop of ice cream.""}",39647.0,PI,The chain is being hold by the maid,Scoop,Hold,S029.jpg,y
2807,img/S102.jpg,1,True,2807.0,"{""Q0"":""The woman is kissing the boxer.""}",22935.0,AI,The woman is clean the window,Kiss,Touch,S102.jpg,n
3297,img/S013.jpg,1,True,3297.0,"{""Q0"":""The policeman kicked the clown.""}",18651.0,PI,The window is being clean by the woman,Kick,Clean,S013.jpg,y
5795,img/S108.jpg,1,True,5795.0,"{""Q0"":""The bird is biting a person's hand.""}",12232.0,PC,The man is being tripped by the other man.,Bite,Trip,S108.jpg,y
2542,img/S089.jpg,1,True,2542.0,"{""Q0"":""The kid is fixing the bike.""}",10549.0,AC,The dog is chewing the shoe.,Fix,Slap,S089.jpg,n
8811,img/S012.jpg,1,True,8811.0,"{""Q0"":""A person is carving the wood.""}",15664.0,PI,The shoe is being chew by the dog,Carve,Chew,S012.jpg,y
2482,img/S083.jpg,1,True,2482.0,"{""Q0"":""The kid is hitting the baseball.""}",15252.0,PC,the clown is being slapped by the policeman,Hit,Shave,S083.jpg,n
3185,img/S090.jpg,1,True,3185.0,"{""Q0"":""The artist is kissing the soldier.""}",9880.0,AI,the cowboy is push the wheelchair,Kiss,Slap,S090.jpg,n
3343,img/S071.jpg,1,True,3343.0,"{""Q0"":""The boxer is being kicked by a policeman.""}",18572.0,AC,The cowboy is pushing the wheelchair.,Kick,Push,S071.jpg,y
9978,img/S076.jpg,1,True,9978.0,"{""Q0"":""The pirate is pulling the bathtub.""}",13161.0,PC,The wrestler is being scolded by the soldier,Pull,Scold,S076.jpg,y
4217,img/S016.jpg,1,True,4217.0,"{""Q0"":""The man is catching a baseball.""}",18607.0,AI,The man is send a letter.,Catch,Erase,S016.jpg,n
6258,img/S114.jpg,1,True,6258.0,"{""Q0"":""The lamp is being kicked by a policeman.""}",34657.0,PI,The letter is being send by the man.,Kick,Send,S114.jpg,y
2537,img/S119.jpg,1,True,2537.0,"{""Q0"":""The cowboy punched a thief.""}",26321.0,AC,The soldier is holding the gun.,Punch,Tear,S119.jpg,n
2526,img/S030.jpg,1,True,2526.0,"{""Q0"":""The maid kicked a clown.""}",13410.0,PC,The plant is being watered by the woman.,Kick,Hold,S030.jpg,n
10595,img/S109.jpg,1,True,10595.0,"{""Q0"":""The bottle is being kicked by a maid.""}",19408.0,AI,The woman is water the plant.,Kick,Water,S109.jpg,y
7531,img/S092.jpg,1,True,7531.0,"{""Q0"":""The pirate is pulling the balleria.""}",10916.0,AC,The policeman is slapping the priest.,Pull,Slap,S092.jpg,n
2978,img/S091.jpg,1,True,2978.0,"{""Q0"":""The maid is tickling the doctor.""}",9994.0,PI,the priest is being slap by the policeman,Tickle,Slap,S091.jpg,y
4563,img/S104.jpg,1,True,4563.0,"{""Q0"":""The soldier is tickling the balleria.""}",12044.0,PI,the television is being touch by the sailor,Tickle,Touch,S104.jpg,y
4520,img/S088.jpg,1,True,4520.0,"{""Q0"":""The kettle is being kicked by the maid.""}",16179.0,PC,The mop is being held by the soldier,Kick,Slap,S088.jpg,n
1969,img/S031.jpg,1,True,1969.0,"{""Q0"":""The artist is kidding the clown.""}",9337.0,AI,The policeman is chase the thief,Kiss,Hold,S031.jpg,n
2659,img/S004.jpg,1,True,2659.0,"{""Q0"":""The woman is trying to kiss the balleria.""}",20312.0,AC,The policeman is chasing the thief.,Kiss,Chase,S004.jpg,y
2538,img/S051.jpg,1,True,2538.0,"{""Q0"":""The boxer is being punched by an artist.""}",18666.0,PC,The bus is being pushed by the chef,Punch,Press,S051.jpg,n
16123,img/S072.jpg,1,True,16123.0,"{""Q0"":""A person is hanging washed clothes.""}",18083.0,AI,The chef is push the bus,Hang,Push,S072.jpg,y
4159,img/S007.jpg,1,True,4159.0,"{""Q0"":""The swimmer is being punched by a cowboy.""}",17505.0,AC,The pirate is chasing the thief.,Punch,Chase,S007.jpg,y
2387,img/S074.jpg,1,True,2387.0,"{""Q0"":""The girl is wrapping up a gift.""}",14665.0,PI,The doctor is being scold by the policeman,Wrap,Push,S074.jpg,n
3630,img/S078.jpg,1,True,3630.0,"{""Q0"":""The woman is petting a cat.""}",19163.0,AC,The maid is holding the cane.,Pet,Scold,S078.jpg,n
6518,img/S028.jpg,1,True,6518.0,"{""Q0"":""The boxer is puliing the box.""}",10969.0,AI,The maid is hold the cane,Pull,Hold,S028.jpg,y
4368,img/S100.jpg,1,True,4368.0,"{""Q0"":""Small ducks are following their mom.""}",31624.0,PC,the swimmer is being touched by the sailor,Follow,Touch,S100.jpg,y
2458,img/S081.jpg,1,True,2458.0,"{""Q0"":""The artist is shooting the thief.""}",11785.0,PI,The teapot is hold by the sailor,Shoot,Scold,S081.jpg,n
3090,img/S032.jpg,1,True,3090.0,"{""Q0"":""The artist is punching a balleria.""}",15739.0,AC,The sailor is holding the teapot.,Punch,Hold,S032.jpg,y
3076,img/S125.jpg,1,True,3076.0,"{""Q0"":""The artist is kissing the boxer.""}",14841.0,PI,The doctor is being chase by the nurse,Kiss,Pay,S125.jpg,n
3099,img/S006.jpg,1,True,3099.0,"{""Q0"":""The kid is fixing the chair.""}",12275.0,PC,The letter is being sent by the man.,Fix,Chase,S006.jpg,n
2290,img/S124.jpg,1,True,2290.0,"{""Q0"":""The pirate is pulling a giant panda.""}",11443.0,AI,The man is send a letter.,Pull,Send,S124.jpg,y
2370,img/S070.jpg,1,True,2370.0,"{""Q0"":""The kid is dragging the suitcase.""}",15435.0,AI,the cowboy is push the swimmer,Drag,Push,S070.jpg,y
2139,img/S073.jpg,1,True,2139.0,"{""Q0"":""A person is squeezing the lemon.""}",14882.0,AC,The professor is scolding the sailor.,Squeeze,Push,S073.jpg,n
3026,img/S082.jpg,1,True,3026.0,"{""Q0"":""The boxer is pulling the soldier.""}",9994.0,PI,the clown is being push by the chef,Pull,Scold,S082.jpg,n
4751,img/S069.jpg,1,True,4751.0,"{""Q0"":""The balleria is being punched by the cowboy.""}",20052.0,PC,the clown is being pushed by the chef,Punch,Push,S069.jpg,y
2739,img/S105.jpg,1,True,2739.0,"{""Q0"":""The pirate is following the balleria.""}",13619.0,AI,the sailor is touch the bicycle,Follow,Touch,S105.jpg,y
4411,img/S112.jpg,1,True,4411.0,"{""Q0"":""The chef is shooting the boxer.""}",12236.0,AC,The woman is ironing the clothes.,Shoot,Iron,S112.jpg,y
1673,img/S080.jpg,1,True,1673.0,"{""Q0"":""The policeman is kicking a shoe.""}",11974.0,PC,The snowball is being thrown by the boy.,Kick,Scold,S080.jpg,n
2272,img/S120.jpg,1,True,2272.0,"{""Q0"":""The cowboy is punching a doctor.""}",12421.0,PI,The priest is being chase by the policeman,Punch,Throw,S120.jpg,n
2677,img/S008.jpg,1,True,2677.0,"{""Q0"":""The clown is being punched by an artist.""}",16049.0,PI,The priest is being chase by the policeman,Punch,Chase,S008.jpg,y
2438,img/S103.jpg,1,True,2438.0,"{""Q0"":""The woman is carrying a box.""}",10145.0,AC,The man is raking the leaves.,Carry,Touch,S103.jpg,n
2887,img/S116.jpg,1,True,2887.0,"{""Q0"":""A person is scooping a scoop of ice cream.""}",19952.0,AI,The man is rake the leaves.,Scoop,Rake,S116.jpg,y
2089,img/S106.jpg,1,True,2089.0,"{""Q0"":""The boxer is pulling the clown.""}",12497.0,PC,The priest is being pushed by the chef,Pull,Touch,S106.jpg,n
10646,img/S067.jpg,1,True,10646.0,"{""Q0"":""The woman is following the man.""}",9488.0,AI,The sodier is scold the ballerina,Follow,Push,S067.jpg,n
12983,img/S075.jpg,1,True,12983.0,"{""Q0"":""The maid kicks a thief.""}",14308.0,PI,The ballerian is scold by the soldier,Kick,Scold,S075.jpg,y
2802,img/S003.jpg,1,True,2802.0,"{""Q0"":""The woman tries to kiss the man.""}",12517.0,PC,The broom is being held by the sailor,Kiss,chase,S003.jpg,n
