rt,stimulus,phase,resp_iscorrect,verif_rt,responses,descr_rt,prime_type,sentence,targ_verb,prime_verb,prime_image_ID,verif_ans
6524,img/S076.jpg,1,True,6524.0,"{""Q0"":""The plumber is fixing the sink.""}",21436.0,PI,The wrestler is scold by the soldier,Fix,Scold,S076.jpg,y
11490,img/S119.jpg,1,True,11490.0,"{""Q0"":""The pirate is pulling the doctor.""}",20604.0,AI,The man is send a letter.,Pull,Tear,S119.jpg,n
4751,img/S124.jpg,1,True,4751.0,"{""Q0"":""The boy is being tickled, thus is laughing.""}",25839.0,AC,The chef is pushing the clown.,Tickle,Send,S124.jpg,n
5256,img/S069.jpg,1,True,5256.0,"{""Q0"":""The boy is scared by the women dressed up for Halloween.""}",42578.0,PC,the clown is being pushed by the chef,Scare,Push,S069.jpg,y
3482,img/S030.jpg,1,True,3482.0,"{""Q0"":""The lady is following the man.""}",12788.0,AI,The teacher is erase the board,Follow,Hold,S030.jpg,n
2210,img/S016.jpg,1,True,2210.0,"{""Q0"":""The painter shot the ballerina.""}",25579.0,AC,The teacher is erasing the board.,Shoot,Erase,S016.jpg,y
5468,img/S105.jpg,1,True,5468.0,"{""Q0"":""The pirate is following the sailor.""}",20437.0,PC,the bicycle is being touched by the sailor,Follow,Touch,S105.jpg,y
3333,img/S083.jpg,1,True,3333.0,"{""Q0"":""The man is dumping his garbage.""}",14879.0,PI,the clown is being touch by the sailor,Dump,Shave,S083.jpg,n
3486,img/S101.jpg,1,True,3486.0,"{""Q0"":""The chef shoots the swimmer.""}",18968.0,PI,the clown is being touch by the sailor,Shoot,Touch,S101.jpg,y
3156,img/S011.jpg,1,True,3156.0,"{""Q0"":""The woman is tickling the man.""}",13328.0,AI,the cowboy is slap the professor,Tickle,Chase,S011.jpg,n
6793,img/S088.jpg,1,True,6793.0,"{""Q0"":""The pirate is pulling the car.""}",10608.0,AC,The pirate is chasing the swimmer.,Pull,Slap,S088.jpg,n
4010,img/S005.jpg,1,True,4010.0,"{""Q0"":""The lady gives the clown a kiss.""}",21455.0,PC,The swimmer is being chased by the pirate,Kiss,Chase,S005.jpg,y
3867,img/S009.jpg,1,True,3867.0,"{""Q0"":""The painter is kissing the ballerina.""}",13701.0,AC,The nurse is chasing the thief.,Kiss,Chase,S009.jpg,y
2937,img/S122.jpg,1,True,2937.0,"{""Q0"":""The boy is lifting a pail of water.""}",13393.0,PI,The ballerian is scold by the soldier,Lift,Give,S122.jpg,n
13952,img/S075.jpg,1,False,13952.0,"{""Q0"":""The man is fixing the car.""}",12173.0,PC,The ballerina is being scolded by the soldier,Fix,Scold,S075.jpg,y
3325,img/S080.jpg,1,True,3325.0,"{""Q0"":""Ice cream is being scooped.""}",12991.0,AI,The man is trip the other man.,Scoop,Scold,S080.jpg,n
2855,img/S108.jpg,1,True,2855.0,"{""Q0"":""The lady is kissing the boxer.""}",15863.0,AC,The man is tripping the other man.,Kiss,Trip,S108.jpg,y
2407,img/S027.jpg,1,True,2407.0,"{""Q0"":""The firefighter is kicking the clown.""}",18679.0,PC,The snowball is being thrown by the boy.,Kick,Hold,S027.jpg,n
6027,img/S120.jpg,1,True,6027.0,"{""Q0"":""The bird is biting someone's hand.""}",10513.0,PI,The snowmall is being throw by the boy.,Bite,Throw,S120.jpg,y
3381,img/S071.jpg,1,True,3381.0,"{""Q0"":""The boy is fixing his bike.""}",10952.0,AI,The person is press the doorbell,Fix,Push,S071.jpg,n
3198,img/S051.jpg,1,True,3198.0,"{""Q0"":""Someone is carving.""}",11466.0,AI,The maid is touch the snake,Carve,Press,S051.jpg,n
