rt,stimulus,phase,resp_iscorrect,verif_rt,responses,descr_rt,prime_image_ID,prime_type,prime_verb,sentence,targ_verb,verif_ans
4584,img/S091.jpg,1,True,4584.0,"{""Q0"":""The man had to fix the sink. ""}",15406.0,S091.jpg,PC,Slap,the priest is being slapped by the policeman,Fix,y
5315,img/S077.jpg,1,True,5315.0,"{""Q0"":""He tried to pull the doctor. ""}",18012.0,S077.jpg,AC,Scold,The professor is scolding the soldier.,Pull,y
12154,img/F030.jpg,1,True,12154.0,"{""Q0"":""He went outside to skate. ""}",9702.0,F030.jpg,,smile,The little boy is crying.,skate,n
10189,img/S076.jpg,1,True,10189.0,"{""Q0"":""He chose to tickle the theif. ""}",15640.0,S076.jpg,PI,Scold,The thief is being chase by the nurse,Tickle,n
5772,img/S009.jpg,1,True,5772.0,"{""Q0"":""The boy got scared with the mask. ""}",27636.0,S009.jpg,AI,Chase,The man is send a letter.,Scare,n
2912,img/F017.jpg,1,True,2912.0,"{""Q0"":""She lit the candle to produce light.""}",28591.0,F017.jpg,,shower,The person is showering. ,light,y
3829,img/S114.jpg,1,True,3829.0,"{""Q0"":""The nun chose to follow the soilder. ""}",27059.0,S114.jpg,PC,Send,The priest is being pushed by the chef,Follow,n
5423,img/S067.jpg,1,True,5423.0,"{""Q0"":""The man shot the girl. ""}",28431.0,S067.jpg,PI,Push,The priest is being push by the chef,Shoot,y
13035,img/F004.jpg,1,False,13035.0,"{""Q0"":""The womens hair was dry after blowdrying it. ""}",27409.0,F004.jpg,,clap,The person is clap after cleaning.,dry,y
2879,img/S068.jpg,1,True,2879.0,"{""Q0"":""The theif chose to follow the man.""}",24852.0,S068.jpg,AC,Push,The cowboy is pushing the ballerina.,Follow,y
4404,img/S082.jpg,1,True,4404.0,"{""Q0"":""The man dumped the trash.""}",33794.0,S082.jpg,AI,Scold,The dog is chase the cat,Dump,n
2492,img/F023.jpg,1,True,2492.0,"{""Q0"":""The baby began to crawl around. ""}",14487.0,F023.jpg,,cook,The two girls are whisper.,crawl,n
3758,img/S011.jpg,1,True,3758.0,"{""Q0"":""The chief shot at the swimmer. ""}",18123.0,S011.jpg,AI,Chase,The dog is chase the cat,Shoot,y
9218,img/S089.jpg,1,True,9218.0,"{""Q0"":""The women wanted to tickle the priest. ""}",15500.0,S089.jpg,PC,Slap,the swimmer is being slapped by the policeman,Tickle,n
4312,img/F013.jpg,1,True,4312.0,"{""Q0"":""The man wanted to hitchhike to get home.""}",18266.0,F013.jpg,,balanace,The acrobat is balancing on the rope.,hitchhike,y
3360,img/S092.jpg,1,True,3360.0,"{""Q0"":""The man is pulling the car.""}",10226.0,S092.jpg,AC,Slap,The policeman is slapping the swimmer.,Pull,y
3342,img/S122.jpg,1,True,3342.0,"{""Q0"":""The clown and the nun are going to kiss. ""}",15456.0,S122.jpg,PI,Give,The priest is being scoldby the policeman,Kiss,n
5544,img/F003.jpg,1,True,5544.0,"{""Q0"":""The boy is hiding behind the curtain. ""}",14499.0,F003.jpg,,bow,The gentleman is bow to the crowd.,hide,y
2520,img/S081.jpg,1,True,2520.0,"{""Q0"":""The painter wanted to kiss the dancer. ""}",21709.0,S081.jpg,PC,Scold,The priest is being scolded by the policeman,Kiss,y
2925,img/S029.jpg,1,True,2925.0,"{""Q0"":""The boy lifted the tub of sand. ""}",19793.0,S029.jpg,AI,Hold,the sailor is touch the television,Lift,n
2681,img/F006.jpg,1,True,2681.0,"{""Q0"":""They celebrated the event with a cake. ""}",28078.0,F006.jpg,,play,The girl is play the piano.,celebrate,y
11136,img/S104.jpg,1,True,11136.0,"{""Q0"":""The man is fixing the car. ""}",14058.0,S104.jpg,PI,Touch,the sailor is being chase by the nun,Fix,n
2826,img/S003.jpg,1,True,2826.0,"{""Q0"":""needed two scoops of ice cream. ""}",30349.0,S003.jpg,AC,chase,The nun is chasing the sailor.,Scoop,y
2578,img/F032.jpg,1,True,2578.0,"{""Q0"":""The girl raised her hand. ""}",19028.0,F032.jpg,,whisper,The woman is cooking a burger patty.,raise,n
2254,img/S109.jpg,1,True,2254.0,"{""Q0"":""The nun kissed the boxer. ""}",13414.0,S109.jpg,AC,Water,The woman is watering the plant.,Kiss,y
3063,img/S095.jpg,1,True,3063.0,"{""Q0"":""The officer kicked the clown. ""}",11155.0,S095.jpg,AI,Slap,the cowboy is push the wheelchair,Kick,n
