rt,stimulus,phase,resp_iscorrect,verif_rt,responses,descr_rt,prime_type,sentence,targ_verb,prime_verb,prime_image_ID,verif_ans
17775,img/S101.jpg,1,False,17775.0,"{""Q0"":""the man is fixing stuff""}",12578.0,PI,the clown is being touch by the sailor,Fix,Touch,S101.jpg,y
3186,img/S016.jpg,1,True,3186.0,"{""Q0"":""the pirate is pulling the man""}",29283.0,AI,The teacher is erase the board,Pull,Erase,S016.jpg,y
13408,img/S011.jpg,1,True,13408.0,"{""Q0"":""the man is tickling the person""}",30723.0,PC,The man is being tripped by the other man.,Tickle,Chase,S011.jpg,n
6190,img/S108.jpg,1,True,6190.0,"{""Q0"":""the boy is scared by the person""}",23684.0,AC,The soldier is scolding the wrestler.,Scare,Trip,S108.jpg,n
9318,img/S076.jpg,1,True,9318.0,"{""Q0"":""the person behind is following the sodier in front""}",27778.0,PI,the thief is being chase by the pirate,Follow,Scold,S076.jpg,n
4842,img/S007.jpg,1,True,4842.0,"{""Q0"":""the man shoot the person.""}",20621.0,PC,The thief is being chased by the pirate,Shoot,Chase,S007.jpg,y
3466,img/S119.jpg,1,True,3466.0,"{""Q0"":""the pirate is following the person in front""}",17753.0,AC,The man is shaving the sheep.,Follow,Tear,S119.jpg,n
5888,img/S083.jpg,1,False,5888.0,"{""Q0"":""the man is dumping the trush""}",13441.0,AI,The man is shave the sheep,Dump,Shave,S083.jpg,y
3588,img/S077.jpg,1,True,3588.0,"{""Q0"":""the chief is shooting the person""}",25353.0,AC,The man is raking the leaves.,Shoot,Scold,S077.jpg,n
4344,img/S116.jpg,1,True,4344.0,"{""Q0"":""the women is tickling the man""}",17664.0,AI,The woman is clean the window,Tickle,Rake,S116.jpg,n
3642,img/S013.jpg,1,True,3642.0,"{""Q0"":""the pirate is pulling a car""}",12285.0,PI,The window is being clean by the woman,Pull,Clean,S013.jpg,y
5994,img/S067.jpg,1,True,5994.0,"{""Q0"":""the two character are kissing ""}",11671.0,PC,The priest is being pushed by the chef,Kiss,Push,S067.jpg,y
6050,img/S072.jpg,1,True,6050.0,"{""Q0"":""the painter and the dancer are kissing""}",17483.0,AI,The chef is push the bus,Kiss,Push,S072.jpg,y
4408,img/S032.jpg,1,True,4408.0,"{""Q0"":""the person is lifting the basket""}",16841.0,AC,The sailor is touching the bicycle.,Lift,Hold,S032.jpg,n
