rt,stimulus,phase,resp_iscorrect,verif_rt,responses,descr_rt,prime_image_ID,prime_type,prime_verb,sentence,targ_verb,verif_ans
4489,img/S009.jpg,1,False,4489.0,"{""Q0"":""The handyman fixes the sink with his tools.""}",13418.0,S009.jpg,PC,Chase,The thief is being chased by the nurse,Fix,y
17605,img/S073.jpg,1,True,17605.0,"{""Q0"":""He is trying to pull the man with a rope.""}",14406.0,S073.jpg,AI,Push,The man is rake the leaves.,Pull,n
2428,img/F005.jpg,1,True,2428.0,"{""Q0"":""The author writes his novel.""}",11520.0,F005.jpg,,clap,The man is clap after the performance,write,y
8957,img/S116.jpg,1,True,8957.0,"{""Q0"":""The soldier is tickling the robber.""}",19017.0,S116.jpg,PI,Rake,the soldier is being slap by the cowboy,Tickle,n
3602,img/S094.jpg,1,True,3602.0,"{""Q0"":""Using the mask, she scares her friend.""}",14718.0,S094.jpg,AC,Slap,The cowboy is slapping the sailor.,Scare,y
3475,img/F032.jpg,1,True,3475.0,"{""Q0"":""When unknowing a question, she raises her hand to ask.""}",19471.0,F032.jpg,,whisper,The woman is cooking a burger patty.,raise,n
2407,img/S078.jpg,1,True,2407.0,"{""Q0"":""The nun follows the army soldier.""}",14923.0,S078.jpg,AI,Scold,the cowboy is slap the ballerina,Follow,n
2191,img/S095.jpg,1,True,2191.0,"{""Q0"":""He shoots the dancer with his gun.""}",12273.0,S095.jpg,PC,Slap,the ballerina is being slapped by the cowboy,Shoot,y
1954,img/F021.jpg,1,True,1954.0,"{""Q0"":""He smokes a cigarette with swag.""}",9792.0,F021.jpg,,cry,The girl is smile at the camera.,smoke,n
2053,img/S010.jpg,1,True,2053.0,"{""Q0"":""The men follow each other in a line.""}",12908.0,S010.jpg,PI,Chase,the wheelchair is being push by the cowboy,Follow,n
2198,img/S071.jpg,1,True,2198.0,"{""Q0"":""The garbage man dumps the trash into the truck.""}",19289.0,S071.jpg,AC,Push,The cowboy is pushing the wheelchair.,Dump,y
1685,img/F018.jpg,1,True,1685.0,"{""Q0"":""He eats the sandwhich whole.""}",15624.0,F018.jpg,,salute,The soldier is saluting.,eat,y
3345,img/S068.jpg,1,True,3345.0,"{""Q0"":""The cook shoots a gun at the swimmer.""}",13695.0,S068.jpg,AC,Push,The policeman is slapping the clown.,Shoot,n
5098,img/S090.jpg,1,False,5098.0,"{""Q0"":""The lady is tickling the religiously affiliated man.""}",18898.0,S090.jpg,PI,Slap,the clown is being slap by the policeman,Tickle,y
3443,img/F035.jpg,1,True,3443.0,"{""Q0"":""The lady waits for hours when fishing.""}",14567.0,F035.jpg,,swat,The family is laughing together. ,fish,n
3595,img/S102.jpg,1,True,3595.0,"{""Q0"":""The man tries to pull the car to no avail.""}",12440.0,S102.jpg,AI,Touch,The maid is touch the sailor,Pull,y
1980,img/S081.jpg,1,True,1980.0,"{""Q0"":""She is about to kiss the ugly man.""}",14027.0,S081.jpg,PC,Scold,The thief is being chased by the policeman,Kiss,n
2869,img/F001.jpg,1,False,2869.0,"{""Q0"":""She is curling half her hair.""}",17898.0,F001.jpg,,hammer,The person is hit the nail with the hammer.,curl,y
3995,img/S004.jpg,1,True,3995.0,"{""Q0"":""They try to kiss but it doesn't work out.""}",11670.0,S004.jpg,PC,Chase,The thief is being chased by the policeman,Kiss,y
2335,img/S016.jpg,1,True,2335.0,"{""Q0"":""He is too weak to lift to bucket all the way up.""}",12870.0,S016.jpg,AI,Erase,the sailor is touch the television,Lift,n
2893,img/F004.jpg,1,False,2893.0,"{""Q0"":""The pretty lady dries her hair with a blowdryer.""}",19856.0,F004.jpg,,clap,The person is clap after cleaning.,dry,y
4458,img/S104.jpg,1,True,4458.0,"{""Q0"":""The big man fixes the car with his tools.""}",11880.0,S104.jpg,AC,Touch,The sailor is touching the television.,Fix,y
2494,img/S003.jpg,1,True,2494.0,"{""Q0"":""They scoop out ice cream to savor.""}",10777.0,S003.jpg,PI,chase,the wrestler is being slap by the policeman,Scoop,n
3435,img/F015.jpg,1,True,3435.0,"{""Q0"":""The grandma sneezes and almost dies.""}",11159.0,F015.jpg,,brush,The boy is brushing his teeth.,sneeze,y
3131,img/S093.jpg,1,True,3131.0,"{""Q0"":""She kisses the boxer.""}",11444.0,S093.jpg,AI,Slap,the policeman is slap the wrestler,Kiss,y
2113,img/S077.jpg,1,True,2113.0,"{""Q0"":""The policeman kicks the weird guy.""}",11486.0,S077.jpg,AC,Scold,The professor is scolding the soldier.,Kick,y
1490,img/F016.jpg,1,True,1490.0,"{""Q0"":""She is easily juggling three balls at once.""}",14642.0,F016.jpg,,slip,The man slipped on a banana peel.,juggle,y
5584,img/S006.jpg,1,True,5584.0,"{""Q0"":""The bird bites off the kids finger.""}",12887.0,S006.jpg,PI,Chase,The girl is being give a present from the man.,Bite,n
3363,img/S122.jpg,1,True,3363.0,"{""Q0"":""The boy fixes the bike.""}",10301.0,S122.jpg,PC,Give,The swimmer is being chased by the pirate,Fix,n
1384,img/F030.jpg,1,True,1384.0,"{""Q0"":""He skates around very fast.""}",10230.0,F030.jpg,,smile,The little boy is crying.,skate,n
3054,img/S005.jpg,1,True,3054.0,"{""Q0"":""They carve out a picture from wood.""}",11992.0,S005.jpg,AI,Chase,The pirate is chase the swimmer,Carve,y
2527,img/S109.jpg,1,True,2527.0,"{""Q0"":""The baseball player hits the baseball.""}",8921.0,S109.jpg,PC,Water,The apple is being cut by the person.,Hit,n
1166,img/F029.jpg,1,True,1166.0,"{""Q0"":""The dog barks at enemy dogs.""}",11327.0,F029.jpg,,shock,The girl is crying. ,bark,n
1874,img/S117.jpg,1,True,1874.0,"{""Q0"":""The solider kisses the painter.""}",11449.0,S117.jpg,AC,Cut,The man is tripping the other man.,Kiss,n
2749,img/S108.jpg,1,True,2749.0,"{""Q0"":""The policeman kicks the boxer in the butt.""}",13672.0,S108.jpg,PI,Trip,The man is being trip by the other man.,Kick,y
2952,img/F037.jpg,1,True,2952.0,"{""Q0"":""She swims in a pond.""}",6830.0,F037.jpg,,mine,The girl is singing a song.,swim,n
1641,img/S082.jpg,1,True,1641.0,"{""Q0"":""He is trying to pull the bathtub but he is too weak.""}",14825.0,S082.jpg,AI,Scold,The professor is scold the sailor,Pull,y
3874,img/S114.jpg,1,True,3874.0,"{""Q0"":""The outfielder catches the fly ball.""}",18998.0,S114.jpg,PI,Send,the bicycle is being touch by the sailor,Catch,n
