"rt","correct","stimulus","key_press","phase","verif_ans","trial_type","trial_index","time_elapsed","internal_node_id","resp_iscorrect","verif_response","responses"
"2966","true","img/F01.jpg","89","0","y","categorize-image-asp","9","628617","0.0-8.0-1.0","true","89",""
"10299","","","","0","","image-text","10","638920","0.0-8.0-2.0","","","{""Q0"":""The sailor is holding the broom.""}"
"4722","true","img/F03.jpg","89","0","y","categorize-image-asp","13","658225","0.0-8.0-1.1","true","89",""
"15196","","","","0","","image-text","14","673423","0.0-8.0-2.1","","","{""Q0"":""The waitress is holding the cain""}"
"2194","true","img/F05.jpg","89","0","y","categorize-image-asp","17","688593","0.0-8.0-1.2","true","89",""
"16324","","","","0","","image-text","18","704920","0.0-8.0-2.2","","","{""Q0"":""The soldier is holding the mop.""}"
"7863","false","img/P41.jpg","78","1","y","categorize-image-asp","21","727193","0.0-10.0-0.0","false","78",""
"12563","","","","1","","image-text","22","739760","0.0-10.0-1.0","","","{""Q0"":""The policeman is slapping the swimmer.""}"
"5543","true","img/P07.jpg","78","1","n","categorize-image-asp","24","758904","0.0-10.0-0.1","true","78",""
"10622","","","","1","","image-text","25","769528","0.0-10.0-1.1","","","{""Q0"":""The waitress is chasing the doctor.""}"
"5493","true","img/P43.jpg","78","1","n","categorize-image-asp","27","788097","0.0-10.0-0.2","true","78",""
"12396","","","","1","","image-text","28","800495","0.0-10.0-1.2","","","{""Q0"":""The policeman is slapping the boxer.""}"
"6589","true","img/P32.jpg","78","1","n","categorize-image-asp","30","820320","0.0-10.0-0.3","true","78",""
"11980","","","","1","","image-text","31","832304","0.0-10.0-1.3","","","{""Q0"":""The chef is shooting the swimmer.""}"
"2291","true","img/P11.jpg","78","1","n","categorize-image-asp","33","849561","0.0-10.0-0.4","true","78",""
"18148","","","","1","","image-text","34","867711","0.0-10.0-1.4","","","{""Q0"":""The pirate is following the doctor""}"
"3569","true","img/P37.jpg","89","1","y","categorize-image-asp","36","881224","0.0-10.0-0.5","true","89",""
"27123","","","","1","","image-text","37","908352","0.0-10.0-1.5","","","{""Q0"":""The nun is going to kiss the ballerina""}"
"3481","true","img/P17.jpg","89","1","y","categorize-image-asp","39","924169","0.0-10.0-0.6","true","89",""
"15180","","","","1","","image-text","40","939352","0.0-10.0-1.6","","","{""Q0"":""The painter punches the clown""}"
"4939","true","img/P15.jpg","78","1","n","categorize-image-asp","42","955353","0.0-10.0-0.7","true","78",""
"13420","","","","1","","image-text","43","968776","0.0-10.0-1.7","","","{""Q0"":""The boxer is followed by the nun.""}"
"5245","true","img/P27.jpg","78","1","n","categorize-image-asp","45","986320","0.0-10.0-0.8","true","78",""
"13613","","","","1","","image-text","46","999936","0.0-10.0-1.8","","","{""Q0"":""The policeman scolds the ballerina""}"
"4025","true","img/P16.jpg","78","1","n","categorize-image-asp","48","1017304","0.0-10.0-0.9","true","78",""
"13756","","","","1","","image-text","49","1031064","0.0-10.0-1.9","","","{""Q0"":""The cowboy is going to push the ballerina""}"
"3299","true","img/P33.jpg","89","1","y","categorize-image-asp","51","1044440","0.0-10.0-0.10","true","89",""
"9723","","","","1","","image-text","52","1054168","0.0-10.0-1.10","","","{""Q0"":""The nun is kissing the boxer""}"
"2747","true","img/P39.jpg","78","1","n","categorize-image-asp","54","1069728","0.0-10.0-0.11","true","78",""
"21453","","","","1","","image-text","55","1091183","0.0-10.0-1.11","","","{""Q0"":""The painter is kissing the clown""}"
"2630","true","img/P25.jpg","89","1","y","categorize-image-asp","57","1107337","0.0-10.0-0.12","true","89",""
"13965","","","","1","","image-text","58","1121304","0.0-10.0-1.12","","","{""Q0"":""The professor scolds the sailor""}"
"2769","true","img/P08.jpg","78","1","n","categorize-image-asp","60","1136857","0.0-10.0-0.13","true","78",""
"15724","","","","1","","image-text","61","1152583","0.0-10.0-1.13","","","{""Q0"":""The waitress has kicked the robber""}"
"9808","true","img/P46.jpg","89","1","y","categorize-image-asp","63","1173201","0.0-10.0-0.14","true","89",""
"12861","","","","1","","image-text","64","1186064","0.0-10.0-1.14","","","{""Q0"":""The waitress is tickling the doctor""}"
"2783","true","img/P45.jpg","89","1","y","categorize-image-asp","66","1201256","0.0-10.0-0.15","true","89",""
"10437","","","","1","","image-text","67","1211696","0.0-10.0-1.15","","","{""Q0"":""The cowboy slapped the sailor""}"
"4323","true","img/P03.jpg","78","1","n","categorize-image-asp","69","1229290","0.0-10.0-0.16","true","78",""
"12635","","","","1","","image-text","70","1241927","0.0-10.0-1.16","","","{""Q0"":""the policeman chases the swimmer""}"
