"rt","correct","stimulus","key_press","phase","verif_ans","trial_type","trial_index","time_elapsed","internal_node_id","resp_iscorrect","verif_response","responses"
"2649","true","img/F01.jpg","89","0","y","categorize-image-asp","9","1514785","0.0-8.0-1.0","true","89",""
"19367","","","","0","","image-text","10","1534156","0.0-8.0-2.0","","","{""Q0"":""The sailor holds the broom.""}"
"4094","true","img/F03.jpg","89","0","y","categorize-image-asp","13","1554764","0.0-8.0-1.1","true","89",""
"14860","","","","0","","image-text","14","1569627","0.0-8.0-2.1","","","{""Q0"":""The waitress holds the cane.""}"
"2801","true","img/F05.jpg","89","0","y","categorize-image-asp","17","1585295","0.0-8.0-1.2","true","89",""
"36634","","","","0","","image-text","18","1621931","0.0-8.0-2.2","","","{""Q0"":""The soldier mops with a mop he's holding.""}"
"3676","true","img/P25.jpg","89","1","y","categorize-image-asp","21","1638939","0.0-10.0-0.0","true","89",""
"17716","","","","1","","image-text","22","1656660","0.0-10.0-1.0","","","{""Q0"":""The graduate scolds the sailor.""}"
"7484","true","img/P24.jpg","78","1","n","categorize-image-asp","24","1676429","0.0-10.0-0.1","true","78",""
"15796","","","","1","","image-text","25","1692228","0.0-10.0-1.1","","","{""Q0"":""The sailor wants to touch the mime.""}"
"4955","true","img/P41.jpg","89","1","y","categorize-image-asp","27","1710109","0.0-10.0-0.2","true","89",""
"15244","","","","1","","image-text","28","1725355","0.0-10.0-1.2","","","{""Q0"":""The policeman slaps the swimmer.""}"
"4303","true","img/P48.jpg","78","1","n","categorize-image-asp","30","1744589","0.0-10.0-0.3","true","78",""
"17396","","","","1","","image-text","31","1761987","0.0-10.0-1.3","","","{""Q0"":""The waitress tickles the priest.""}"
"5657","true","img/P43.jpg","78","1","n","categorize-image-asp","33","1778729","0.0-10.0-0.4","true","78",""
"13911","","","","1","","image-text","34","1792643","0.0-10.0-1.4","","","{""Q0"":""The policeman slaps the boxer.""}"
"2415","false","img/P15.jpg","89","1","n","categorize-image-asp","36","1809181","0.0-10.0-0.5","false","89",""
"20867","","","","1","","image-text","37","1830051","0.0-10.0-1.5","","","{""Q0"":""The boxer is followed by the priest.""}"
"3346","true","img/P03.jpg","78","1","n","categorize-image-asp","39","1846602","0.0-10.0-0.6","true","78",""
"9718","","","","1","","image-text","40","1856323","0.0-10.0-1.6","","","{""Q0"":""The policeman chases the swimmer.""}"
"5158","true","img/P29.jpg","89","1","y","categorize-image-asp","42","1876392","0.0-10.0-0.7","true","89",""
"13696","","","","1","","image-text","43","1890091","0.0-10.0-1.7","","","{""Q0"":""The boxer is scolded by the policeman.""}"
"4866","true","img/P09.jpg","89","1","y","categorize-image-asp","45","1908442","0.0-10.0-0.8","true","89",""
"21149","","","","1","","image-text","46","1929596","0.0-10.0-1.8","","","{""Q0"":""The pirate follows the sailor.""}"
"2758","true","img/P37.jpg","89","1","y","categorize-image-asp","48","1944312","0.0-10.0-0.9","true","89",""
