"rt","correct","stimulus","key_press","phase","verif_ans","trial_type","trial_index","time_elapsed","internal_node_id","resp_iscorrect","verif_response","responses"
"8771","true","img/F01.jpg","89","0","y","categorize-image-asp","9","1224601","0.0-8.0-1.0","true","89",""
"21640","","","","0","","image-text","10","1246246","0.0-8.0-2.0","","","{""Q0"":""The sailor holds a broom.""}"
"7450","true","img/F03.jpg","89","0","y","categorize-image-asp","13","1269291","0.0-8.0-1.1","true","89",""
"25679","","","","0","","image-text","14","1294973","0.0-8.0-2.1","","","{""Q0"":""The waitress holds a cane.""}"
"3978","true","img/F05.jpg","89","0","y","categorize-image-asp","17","1314291","0.0-8.0-1.2","true","89",""
"13608","","","","0","","image-text","18","1327902","0.0-8.0-2.2","","","{""Q0"":""The soldier holds a mop.""}"
"5987","true","img/P17.jpg","89","1","y","categorize-image-asp","21","1349412","0.0-10.0-0.0","true","89",""
"56166","","","","1","","image-text","22","1405582","0.0-10.0-1.0","","","{""Q0"":""The artist punches a shirtless man.""}"
"19240","false","img/P31.jpg","89","1","n","categorize-image-asp","24","1438524","0.0-10.0-0.1","false","89",""
"16807","","","","1","","image-text","25","1455334","0.0-10.0-1.1","","","{""Q0"":""The graduate scolds the soldier.""}"
"8910","false","img/P06.jpg","78","1","y","categorize-image-asp","27","1477563","0.0-10.0-0.2","false","78",""
"28792","","","","1","","image-text","28","1506358","0.0-10.0-1.2","","","{""Q0"":""The waitress kicks a guy in the shin.""}"
"8711","true","img/P40.jpg","78","1","n","categorize-image-asp","30","1526665","0.0-10.0-0.3","true","78",""
"35793","","","","1","","image-text","31","1562461","0.0-10.0-1.3","","","{""Q0"":""The boxer pulls on the rope that is wrapped around the guy.""}"
"2747","true","img/P09.jpg","89","1","y","categorize-image-asp","33","1576115","0.0-10.0-0.4","true","89",""
"14512","","","","1","","image-text","34","1590629","0.0-10.0-1.4","","","{""Q0"":""The pirate follows the sailor.""}"
"113501","false","img/P29.jpg","78","1","y","categorize-image-asp","36","1717466","0.0-10.0-0.5","false","78",""
"22198","","","","1","","image-text","37","1739670","0.0-10.0-1.5","","","{""Q0"":""The policeman scolds the boxer.""}"
"2635","true","img/P33.jpg","89","1","y","categorize-image-asp","39","1754550","0.0-10.0-0.6","true","89",""
"12044","","","","1","","image-text","40","1766598","0.0-10.0-1.6","","","{""Q0"":""The nun kisses the boxer.""}"
"6875","true","img/P05.jpg","89","1","y","categorize-image-asp","42","1781830","0.0-10.0-0.7","true","89",""
"12276","","","","1","","image-text","43","1794110","0.0-10.0-1.7","","","{""Q0"":""The robber is chased by the pirate.""}"
"6103","true","img/P19.jpg","78","1","n","categorize-image-asp","45","1812201","0.0-10.0-0.8","true","78",""
"23858","","","","1","","image-text","46","1836062","0.0-10.0-1.8","","","{""Q0"":""The artist punches the religious man.""}"
"3519","true","img/P32.jpg","78","1","n","categorize-image-asp","48","1851250","0.0-10.0-0.9","true","78",""
"21360","","","","1","","image-text","49","1872614","0.0-10.0-1.9","","","{""Q0"":""The chef shoots the swimmer.""}"
"2883","true","img/P25.jpg","89","1","y","categorize-image-asp","51","1886920","0.0-10.0-0.10","true","89",""
"14980","","","","1","","image-text","52","1901902","0.0-10.0-1.10","","","{""Q0"":""The graduate scolds the sailor.""}"
"3641","true","img/P48.jpg","78","1","n","categorize-image-asp","54","1920570","0.0-10.0-0.11","true","78",""
"14226","","","","1","","image-text","55","1934798","0.0-10.0-1.11","","","{""Q0"":""The waitress tickles the religious man.""}"
"3779","true","img/P41.jpg","89","1","y","categorize-image-asp","57","1952690","0.0-10.0-0.12","true","89",""
"11185","","","","1","","image-text","58","1963878","0.0-10.0-1.12","","","{""Q0"":""The policeman slaps the swimmer.""}"
"4567","true","img/P13.jpg","89","1","y","categorize-image-asp","60","1978500","0.0-10.0-0.13","true","89",""
"12063","","","","1","","image-text","61","1990566","0.0-10.0-1.13","","","{""Q0"":""The nun follows the soldier.""}"
"5066","false","img/P12.jpg","78","1","y","categorize-image-asp","63","2006886","0.0-10.0-0.14","false","78",""
"11676","","","","1","","image-text","64","2018566","0.0-10.0-1.14","","","{""Q0"":""The cowboy pushes the swimmer.""}"
"2882","true","img/P08.jpg","78","1","n","categorize-image-asp","66","2031912","0.0-10.0-0.15","true","78",""
"11826","","","","1","","image-text","67","2043742","0.0-10.0-1.15","","","{""Q0"":""The waitress kicks the robber.""}"
"2578","false","img/P28.jpg","78","1","y","categorize-image-asp","69","2058482","0.0-10.0-0.16","false","78",""
"10656","","","","1","","image-text","70","2069142","0.0-10.0-1.16","","","{""Q0"":""The chef shoots the boxer.""}"
"2768","true","img/P16.jpg","78","1","n","categorize-image-asp","72","2082082","0.0-10.0-0.17","true","78",""
"15449","","","","1","","image-text","73","2097534","0.0-10.0-1.17","","","{""Q0"":""The cowboy pushes the ballerina.""}"
"3014","false","img/P22.jpg","78","1","y","categorize-image-asp","75","2115622","0.0-10.0-0.18","false","78",""
"10629","","","","1","","image-text","76","2126254","0.0-10.0-1.18","","","{""Q0"":""The sailor touches the swimmer.""}"
