"rt","correct","stimulus","key_press","phase","verif_ans","trial_type","trial_index","time_elapsed","internal_node_id","resp_iscorrect","verif_response","responses"
"28721","true","img/F01.jpg","89","0","y","categorize-image-asp","9","1380863","0.0-8.0-1.0","true","89",""
"22128","","","","0","","image-text","10","1402998","0.0-8.0-2.0","","","{""Q0"":""The sailor is holding the broom""}"
"8046","true","img/F03.jpg","89","0","y","categorize-image-asp","13","1428032","0.0-8.0-1.1","true","89",""
"22969","","","","0","","image-text","14","1451005","0.0-8.0-2.1","","","{""Q0"":""The waitress is holding the cane""}"
"4129","true","img/F05.jpg","89","0","y","categorize-image-asp","17","1471423","0.0-8.0-1.2","true","89",""
"61401","","","","0","","image-text","18","1532828","0.0-8.0-2.2","","","{""Q0"":""The solider held the mop""}"
"6133","true","img/P03.jpg","78","1","n","categorize-image-asp","21","1556575","0.0-10.0-0.0","true","78",""
"19417","","","","1","","image-text","22","1575997","0.0-10.0-1.0","","","{""Q0"":""the officer is chasing the swimmer""}"
"6116","true","img/P08.jpg","78","1","n","categorize-image-asp","24","1597743","0.0-10.0-0.1","true","78",""
"15585","","","","1","","image-text","25","1613332","0.0-10.0-1.1","","","{""Q0"":""the waitress kicked the robber""}"
"5174","false","img/P28.jpg","78","1","y","categorize-image-asp","27","1628398","0.0-10.0-0.2","false","78",""
"14978","","","","1","","image-text","28","1643381","0.0-10.0-1.2","","","{""Q0"":""the chef is shooting at the boxer""}"
"10515","true","img/P05.jpg","89","1","y","categorize-image-asp","30","1663472","0.0-10.0-0.3","true","89",""
"21264","","","","1","","image-text","31","1684740","0.0-10.0-1.3","","","{""Q0"":""the pirate is chasing the robber""}"
"2761","false","img/P12.jpg","78","1","y","categorize-image-asp","33","1698446","0.0-10.0-0.4","false","78",""
"33450","","","","1","","image-text","34","1731900","0.0-10.0-1.4","","","{""Q0"":""the cowboy will push the swimmer""}"
"2734","true","img/P40.jpg","78","1","n","categorize-image-asp","36","1748014","0.0-10.0-0.5","true","78",""
"12560","","","","1","","image-text","37","1760580","0.0-10.0-1.5","","","{""Q0"":""the boxer is pulling the clown""}"
"3257","false","img/P46.jpg","78","1","y","categorize-image-asp","39","1779998","0.0-10.0-0.6","false","78",""
