,T_image_ID,P_image_ID,T_verb,P_type,verif_ans,P_sentence
0,T01.jpg,P01.jpg,chase,AC,y,The nun chases the sailor.
1,T19.jpg,P37.jpg,kiss,PC,y,The boxer is kissed by the artist.
2,P26.jpg,P28.jpg,shot,AI,y,The artist is shoots the robber. 
3,P20.jpg,P24.jpg,touch,PI,n,The waitress is touchen by the doctor.
4,T10.jpg,P19.jpg,punch,AC,n,The robber punches the cowboy.
5,T20.jpg,P39.jpg,kiss,PC,n,The nun is kissed by the monk.
6,T09.jpg,P17.jpg,punch,AC,y,The cowboy punches the swimmer.
7,T03.jpg,P05.jpg,chase,PC,y,The monk is chased by the policeman.
8,P34.jpg,P38.jpg,pull,AI,y,The boxer is pulls the soldier.
9,T16.jpg,P31.jpg,scold,PC,n,The policeman is scolded by the monk. 
10,T21.jpg,P41.jpg,slap,AC,y,The cowboy slaps the professor.
11,P14.jpg,P16.jpg,push,PI,n,The chef is pushen by the monk.
12,T06.jpg,P11.jpg,follow,AC,n,The monk follows the nun.
13,P44.jpg,P48.jpg,tickle,PI,n,The soldier is ticklen by the robber. 
14,T18.jpg,P35.jpg,kiss,AC,n,The clown kisses the nun.
15,P30.jpg,P32.jpg,shot,PI,n,The artist is shooted by the ballerina. 
16,T05.jpg,P09.jpg,follow,AC,y,The nun follows the doctor.
17,T24.jpg,P47.jpg,slap,PC,n,The policeman is slapped by  the monk.
18,P18.jpg,P22.jpg,touch,AI,y,The waitress is touchs the sailor.
19,T15.jpg,P29.jpg,scold,PC,y,The doctor is scolded by the professor. 
20,T13.jpg,P25.jpg,scold,AC,y,The policeman scolds the doctor.
21,T11.jpg,P21.jpg,punch,PC,y,The ballerina is punched by the artist.
22,T14.jpg,P27.jpg,scold,AC,n,The boxer scolds the professor.
23,T04.jpg,P07.jpg,chase,PC,n,The pirate is chased by the swimmer.
24,P10.jpg,P12.jpg,push,AI,y,The chef is pushs the clown.
25,T08.jpg,P15.jpg,follow,PC,n,The pirate is followed by the robber.
26,T22.jpg,P43.jpg,slap,AC,n,The soldier slaps the cowboy.
27,P04.jpg,P08.jpg,kick,PI,n,The policeman is kicken by the clown. 
28,T02.jpg,P03.jpg,chase,AC,n,The robber chases the waitress.
29,T23.jpg,P45.jpg,slap,PC,y,The clown is slapped by  the policeman.
30,P02.jpg,P06.jpg,kick,AI,y,The policeman is kickes the boxer.
31,P36.jpg,P40.jpg,pull,PI,n,The pirate is pullen by the doctor. 
32,T17.jpg,P33.jpg,kiss,AC,y,The artist kisses the ballerina.
33,T07.jpg,P13.jpg,follow,PC,y,The ballerina is followed by the pirate
34,P42.jpg,P46.jpg,tickle,AI,y,The soldier is tickls the ballerina.
35,T12.jpg,P23.jpg,punch,PC,n,The artist is punched by the boxer.
